Front;Back;Tag
软件危机（Software Crisis）的主要表现有哪些？;开发进度难以预测、成本难以控制、功能不满足期望、质量无法保证、难以维护、缺少文档。;7.1 软件工程 - 软件危机
瀑布模型（Waterfall Model）的主要优缺点是什么？;优点：结构清晰、阶段紧密；缺点：需求难确定、变更代价高、结果难预见、不能并行。;7.1 软件工程 - 过程模型
原型模型（Prototype Model）中，“抛弃型”和“演化型”的区别是什么？;抛弃型：需求确认后丢弃，继续用瀑布模型；演化型：不断补充完善，直至成为最终产品。;7.1 软件工程 - 过程模型
螺旋模型（Spiral Model）的最大特点是什么？其四个组成部分是什么？;特点是强调风险分析；四部分：目标设定、风险分析、开发和有效性验证、评审。;7.1 软件工程 - 过程模型
极限编程（XP）的显著特征是什么？;高效、低风险、测试先行（先写测试代码，再编写程序）。;7.1 软件工程 - 敏捷模型
Scrum 方法中，产品 Backlog 和 Sprint Backlog 的关系是什么？;产品 Backlog 是按商业价值排序的需求列表；Sprint Backlog 是从产品 Backlog 中挑选出的当前迭代（Sprint）要完成的需求。;7.1 软件工程 - 敏捷模型
RUP 模型的二维结构是指什么？其核心特点是什么？;二维：时间（阶段）+ 内容（工作流）；特点：用例驱动、以架构为中心、迭代和增量。;7.1 软件工程 - RUP 模型
RUP 的“4+1”视图中，逻辑视图、实现视图、进程视图、部署视图分别对应哪类人员？;逻辑-最终用户（功能）；实现-程序员（模块组织）；进程-系统集成人员（性能/并发）；部署-系统工程师（硬件映射）。;7.1 软件工程 - RUP 模型
RUP 的“4+1”视图中，为什么用例视图被称为“+1”？;因为所有其他视图都依靠用例视图（场景）来指导，它是核心驱动力。;7.1 软件工程 - RUP 模型
CMMI 的 5 个成熟度等级从低到高依次是什么？;初始级、已管理级、已定义级、量化管理级、优化级。;7.1 软件工程 - CMMI
CMMI 中，“量化管理级”（L4）与“已定义级”（L3）的主要区别是什么？;L4 对过程性能是可预测的（量化控制），而 L3 仅是标准化的（定性）。;7.1 软件工程 - CMMI
软件需求的三个层次（业务、用户、功能）分别指什么？;业务需求：组织/客户的高层次目标；用户需求：用户要完成的任务；功能需求：开发人员必须实现的具体软件功能。;7.2 需求工程 - 需求层次
需求工程（RE）由哪 5 个阶段组成？;需求获取、需求分析、形成需求规格（文档化）、需求确认与验证、需求管理。;7.2 需求工程 - 定义与阶段
软件需求规格说明书（SRS）主要包括哪三部分内容？;功能需求、非功能需求、约束（设计约束和过程约束）。;7.2 需求工程 - SRS
需求获取的常用方法有哪些？;用户面谈、需求专题讨论会、问卷调查、现场观察、原型化方法、头脑风暴法。;7.2 需求工程 - 需求获取
需求变更管理过程主要包括哪三个步骤？;1. 问题分析和变更描述；2. 变更分析和成本计算；3. 变更实现。;7.2 需求工程 - 需求变更
在敏捷开发模型中，需求变更是如何处理的？;通常将需求变更纳入到下一次迭代的执行过程中。;7.2 需求工程 - 需求变更
变更控制委员会（CCB）的主要职责是什么？它是作业机构吗？;职责：通过评审手段决定是否批准变更；不是作业机构，是决策机构，不提出变更方案。;7.2 需求工程 - CCB
需求跟踪的目的是什么？;建立与维护“需求—设计—编程—测试”之间的一致性，确保工作成果符合用户需求。;7.2 需求工程 - 需求跟踪
需求跟踪的两种方式是什么？;正向跟踪（需求→产品）和逆向跟踪（产品→需求），合称“双向跟踪”。;7.2 需求工程 - 需求跟踪
结构化分析（SA）中，数据流图（DFD）由哪 4 种基本元素组成？;数据流、处理/加工、数据存储、外部项。;7.3 系统分析与设计 - 结构化方法
数据字典（Data Dictionary）主要包含哪些定义？;数据项、数据结构、数据流、数据存储、处理过程。;7.3 系统分析与设计 - 结构化方法
结构化设计（SD）的两个阶段及其主要任务是什么？;概要设计（确定系统结构、模块划分、接口）；详细设计（模块实现细节、算法、局部数据结构）。;7.3 系统分析与设计 - 结构化方法
模块耦合度从低到高依次有哪些类型？;非直接耦合、数据耦合、标记耦合、控制耦合、通信耦合、公共耦合、内容耦合。;7.3 系统分析与设计 - 耦合与内聚
模块内聚度从高到低依次有哪些类型？;功能内聚、顺序内聚、通信内聚、过程内聚、时间内聚、逻辑内聚、偶然内聚。;7.3 系统分析与设计 - 耦合与内聚
结构化设计应遵循什么原则？;高内聚、低耦合。;7.3 系统分析与设计 - 耦合与内聚
面向对象分析（OOA）的 5 个层次是什么？;主题层、对象类层、结构层、属性层、服务层。;7.3 系统分析与设计 - 面向对象方法
面向对象设计（OOD）中，类主要分为哪三种类型？;实体类（名词，持久化）、控制类（逻辑控制）、边界类（接口/窗口）。;7.3 系统分析与设计 - 面向对象方法
面向对象程序设计（OOP）的三大基本特点是什么？;封装、继承、多态。;7.3 系统分析与设计 - 面向对象方法
Hibernate、MyBatis 和 JDO 在持久化技术上有何区别？;Hibernate：全自动 ORM；MyBatis：手动 SQL 优化；JDO：Java 标准 API，支持多种存储（不仅是关系库）。;7.3 系统分析与设计 - 数据持久化
软件重用的“水平式重用”和“垂直式重用”有何区别？;水平式：不同领域重用（如标准函数库）；垂直式：同一领域重用（如区块链组件）。;7.3 系统分析与设计 - 软件重用
逆向工程中，信息恢复的级别从低到高依次是什么？;实现级、结构级、功能级、领域级。;7.3 系统分析与设计 - 逆向工程
重构（Restructuring）与逆向工程（Reverse Engineering）的区别是什么？;逆向工程：跨越抽象层级（低→高）；重构：在同一抽象层级内转换。;7.3 系统分析与设计 - 逆向工程
软件测试的 4 种主要分类维度是什么？;1. 程序执行状态（静态/动态）；2. 是否关注内部结构（黑盒/白盒/灰盒）；3. 执行方式（人工/自动化）；4. 测试阶段（单元/集成/系统/验收）。;7.4 软件测试 - 测试分类
静态测试与动态测试的主要区别是什么？;静态测试不运行程序（如代码审查、静态分析）；动态测试通过运行程序发现错误。;7.4 软件测试 - 测试分类
黑盒测试与白盒测试的侧重点分别是什么？;黑盒测试关注功能（不看内部）；白盒测试关注内部逻辑和结构。;7.4 软件测试 - 测试分类
单元测试、集成测试、系统测试、验收测试的测试依据分别是什么？;单元-详细设计说明书；集成-概要设计文档；系统-用户需求（SRS）；验收-SRS或合同。;7.4 软件测试 - 测试阶段
系统测试的主要内容包括哪些？;功能测试、性能测试、健壮性测试、安全性测试、安装/反安装测试、用户界面测试等。;7.4 软件测试 - 测试阶段
验收测试中，Alpha 测试和 Beta 测试的区别是什么？;Alpha：用户在开发环境下测试；Beta：用户在实际使用环境下测试（开发者通常不在场）。;7.4 软件测试 - 测试阶段
净室软件工程（CSE）的核心理念是什么？;强调通过正确性验证（而非测试）来发现和消除错误，追求零缺陷。;7.5 净室软件工程
净室软件工程中使用的“盒子结构”有哪三种？;黑盒（外部行为）、状态盒（引入状态）、清晰盒/明盒（内部实现）。;7.5 净室软件工程
基于构件的软件工程（CBSE）中，构件必须具备的 5 个特征是什么？;可组装性、可部署性、文档化、独立性、标准化。;7.6 基于构件的软件工程 - 定义
CBSE 过程与传统开发过程的主要区别有哪些？;早期需完整需求（为了找构件）；需求需适配构件；架构设计特别重要；核心是组装而非编码。;7.6 基于构件的软件工程 - CBSE 过程
主流的构件模型有哪些？;Web Services 模型、EJB 模型、.NET 模型。;7.6 基于构件的软件工程 - 构件模型
构件组装面临的接口不兼容问题主要有哪些？如何解决？;参数不兼容、操作不兼容、操作不完备；解决方法：编写适配器构件。;7.6 基于构件的软件工程 - 构件组装
