Front;Back;Tag
什么是软件架构（软件体系结构）的定义？;软件架构是指系统的一个或者多个结构，这些结构包括软件的构件（可能是程序模块、类或者是中间件）、构件的外部可见属性及其之间的相互关系。体系结构的设计包括数据库设计和软件结构设计，后者主要关注软件构件的结构、属性和交互作用，并通过多种视图全面描述。;9.1 软件架构概念
在软件架构设计与生命周期中，需求分析阶段的架构工作有何作用和意义？;有利于各阶段参与者的交流，也易于维护各阶段的可追踪性。;9.1 软件架构概念
在软件架构生命周期中，设计阶段的架构工作有何特点？;关注的最早和最多的阶段。;9.1 软件架构概念
实现阶段在软件架构生命周期中的作用和意义是什么？;有效实现从软件架构设计向实现的转换。;9.1 软件架构概念
构件组装阶段在软件架构生命周期中的作用和意义是什么？;可复用构件组装的设计能够提高系统实现的效率。;9.1 软件架构概念
部署阶段在软件架构生命周期中的作用和意义是什么？;组织和展示部署阶段的软硬件架构、评估分析部署方案。;9.1 软件架构概念
后开发阶段在软件架构生命周期中的作用和意义是什么？;主要围绕维护、演化、复用进行。;9.1 软件架构概念
在需求分析阶段，从软件需求模型向软件架构模型转换时需要关注哪两个主要问题？;1. 如何根据需求模型构建软件架构模型；2. 如何保证模型转换的可追踪性。;9.1 软件架构概念
软件架构设计阶段对架构模型描述的研究包含哪三个主要方面？;1. 组成SA模型的基本概念（构件和连接子的建模）；2. 体系架构描述语言（ADL）；3. 多视图。;9.1 软件架构概念
什么是体系架构描述语言（ADL）？它与其它建模语言的最大区别是什么？;ADL是用于描述软件体系架构的语言。与其他建模语言最大的区别在于其更关注构件间互联机制（连接子）。;9.1 软件架构概念
请列举至少5种典型的体系架构描述语言（ADL）。;Unicon、Rapide、Darwin、Wright、C2SADL、Acme、XADLOL、XYZ/ADL、ABC/ADL（任答5种即可）。;9.1 软件架构概念
软件架构中的“多视图”是什么？典型的模型和标准有哪些？;多视图反映一组系统的不同方面，体现关注点分散的思想。典型模型：4+1模型、Hofmesiter的4视图模型、CMU-Sei的Views and Beyond模型。视图标准：IEEE的1471-2000、RM-ODP、UML以及IBM的Zachman。;9.1 软件架构概念
在软件架构的实现阶段，主要研究内容包含哪三点？;1. 基于SA的开发过程支持；2. 寻求从SA向实现过渡的途径；3. 研究基于SA的测试技术。;9.1 软件架构概念
缩小软件架构设计与底层实现概念差距的三种手段是什么？;模型转换技术、封装底层的实现细节、在SA模型中引入实现阶段的概念（如用程序设计语言描述）。;9.1 软件架构概念
