Front;Back;Tag
什么是软件可靠性？;软件可靠性是指在规定的时间内，软件不引起系统失效的概率。该概率是系统输入和系统使用的函数，也是软件中存在的缺陷函数。;11.1 软件可靠性基本概念
软件可靠性定量描述中，“规定时间”指什么？;运行时间，执行时间，度量软件的可靠性效果最好。;11.1 软件可靠性基本概念
软件可靠性定量描述中，“失效概率”如何定义？;软件从运行开始算起，运行到某一时间t，出现失效的概率是一个随机函数，称为失效概率。;11.1 软件可靠性基本概念
软件可靠性定量描述中，“可靠度”如何定义？;软件在规定条件下、规定时间内不失效的概率的定量描述。;11.1 软件可靠性基本概念
软件可靠性定量描述中，“失效强度”如何定义？;单位时间内软件失效的概率。;11.1 软件可靠性基本概念
软件可靠性定量描述中，“失效率”如何定义？;也称风险函数或条件失效强度，在运行系统未出现失效的情况下，单位时间软件系统出现失效的概率。;11.1 软件可靠性基本概念
软件可靠性定量描述中，“平均无失效时间”如何定义？;软件运行后，到下一次失效的平均时间。更直观地反映软件的可靠度。;11.1 软件可靠性基本概念
软件可靠性的目标是什么？;用户对所使用的软件的性能满意程度的期望，可以用可靠度、平均失效时间和故障强度等来描述。;11.1 软件可靠性基本概念
可靠性测试的意义有哪些？（列出5点）;1.软件失效可能造成灾难性后果；2.软件失效在整个计算机系统失效中比例较高；3.相比硬件可靠性技术，软件可靠性技术不成熟；4.软件可靠性问题会造成软件费用增长；5.系统对软件的依赖性强，对生产活动和社会生活影响日益增大。;11.1 软件可靠性基本概念
可靠性测试的三个目的是什么？;1.发现软件系统的缺陷；2.为软件的使用和维护提供可靠性依据；3.确认软件是否达到可靠性的定量要求。;11.1 软件可靠性基本概念
什么是广义的可靠性测试？;为了最终评价软件系统的可靠性而运用建模、统计、试验、分析和评价等一系列手段对软件系统实施的一种测试。;11.1 软件可靠性基本概念
什么是狭义的可靠性测试？;为了获取可靠性数据，按预先确定好的测试用例，在软件预期使用环境中，对软件实施的一种测试。;11.1 软件可靠性基本概念
影响软件可靠性的因素包括哪些？;运行环境、软件规模、软件的内部结构、软件的开发方法和开发环境、软件的可靠性投入。;11.2 软件可靠性建模
软件可靠性模型的四个组成部分是什么？;模型假设、性能度量、参数估计方法、数据要求。;11.2 软件可靠性建模
软件可靠性模型应具备的三个重要特性是什么？;基于可靠的假设（简单、计算有用量、给出未来失效行为的好的映射）、可广泛应用。;11.2 软件可靠性建模
软件可靠性建模方法包括哪些？（至少列出8种）;种子法、失效率类、曲线拟合类、可靠性增长、程序结构分析、输入域分类、执行路径分析方法、非齐次泊松过程、马尔可夫过程、贝叶斯分析。;11.2 软件可靠性建模
软件可靠性管理包括哪六个阶段？;需求分析阶段、概要设计阶段、详细设计阶段、编码阶段、测试阶段、实施阶段。;11.3 软件可靠性管理
软件可靠性设计技术包括哪四大类？;容错设计技术、检错技术、降低复杂度设计、系统配置技术。;11.4 软件可靠性设计
容错设计技术包括哪三种具体方法？;恢复块设计、N版本程序设计、冗余设计。;11.4 软件可靠性设计
什么是恢复块设计？;选择一组操作作为容错设计单元，把普通的程序块变成恢复块。;11.4 软件可靠性设计
什么是N版本程序设计？;通过设计多个模块或不同版本，对相同初始条件和相同输入的操作结果实行多数表决，防止其中某一软件模块/版本的故障提供错误的服务。;11.4 软件可靠性设计
什么是冗余设计？;在一套完整的软件系统之外，设计一种不同路径、不同算法或不同实现方式的模块或系统作为备份，在出现故障时可使用冗余部分进行替换。;11.4 软件可靠性设计
检错技术的代价和局限性是什么？;检错技术代价低于容错技术和冗余技术，但是不能自动解决故障，需要人工干预。;11.4 软件可靠性设计
检错技术着重考虑的四个要素是什么？;检测对象、检测延时、实现方式、处理方式。;11.4 软件可靠性设计
降低复杂度设计的思想是什么？;在保证实现软件功能基础上，简化软件结构、缩短程序代码长度、优化软件数据流向、降低软件复杂度、提高软件可靠性。;11.4 软件可靠性设计
系统配置技术可以分为哪两种？;双机热备技术和服务器集群技术。;11.4 软件可靠性设计
双机热备技术中，根据两台服务器的工作方式分为哪三种模式？;双机热备模式（一台工作，一台后备）、双机互备模式（两台运行相对独立应用，互为后备）、双机双工模式（两台同时运行相同应用，互为后备）。;11.4 软件可靠性设计
服务器集群技术的工作原理是什么？;集群内各节点服务器通过内部局域网相互通信，若某节点服务器发生故障，这台服务器运行的应用被另一节点服务器自动接管。;11.4 软件可靠性设计
软件可靠性测试包括哪五个步骤？;可靠性目标的确定、运行剖面的开发、测试用例的设计、测试实施、测试结果分析。;11.5 软件可靠性测试
什么是软件运行剖面？;为软件的使用行为建模，开发使用模型，明确需测试内容。;11.5 软件可靠性测试
软件可靠性测试用例设计的两个原则是什么？;要能够反映实际的使用情况，优先测试最重要的和最频繁使用的功能。;11.5 软件可靠性测试
测试用例的组成包括哪些要素？;测试用例标识、被测对象、测试环境及条件、测试输入、操作步骤、预期输出、判断输出结果是否符合标准、测试对象的特殊需求。;11.5 软件可靠性测试
用时间定义的软件可靠性数据分为哪四类？;失效时间数据、失效间隔时间数据、分组时间内的失效数、分组时间的累积失效数。;11.5 软件可靠性测试
测试记录应包括哪些内容？;测试时间、含有测试用例的测试说明或标识、所有与测试有关的测试结果（包括失效数据）、测试人员。;11.5 软件可靠性测试
测试报告应包括哪些内容？;软件产品标识、测试环境配置、测试依据、测试结果、测试问题、测试时间。;11.5 软件可靠性测试
软件可靠性评价过程包括哪三个步骤？;选择可靠性模型、收集可靠性数据、可靠性评估和预测。;11.6 软件可靠性评价
选择软件可靠性模型时应从哪四个方面考虑？;1.模型假设的适用性；2.预测的能力与质量；3.模型输出值能否满足可靠性的评价需求；4.模型使用的简便性。;11.6 软件可靠性评价
收集软件可靠性数据的可行办法有哪些？;1.尽可能早地确定可靠性模型；2.数据收集计划要有较强的可操作性；3.重视测试数据的分析和整理；4.充分利用技术手段（数据库技术）来完成分析和统计。;11.6 软件可靠性评价
软件可靠性评估和预测的目的是什么？;评估软件系统的可靠性状况和预测将来一段时间的可靠性水平。;11.6 软件可靠性评价
软件可靠性评估和预测主要采用什么方法？以什么为辅？;以软件可靠性模型分析为主，以失效数据的图形分析法和试探性数据分析技术等为辅。;11.6 软件可靠性评价
