Front;Back;Tag
什么是云原生架构？;云原生架构是基于云原生技术的一组架构原则和设计模式的集合，旨在将云应用中的非业务代码部分最大化剥离，让云设施接管应用中原有的大量非功能特性（如弹性、韧性、安全、可观测性、灰度等），使业务具备轻量、敏捷、高度自动化的特点。;17.1 云原生架构内涵
基于云原生架构的应用在代码结构上发生了什么变化？;不再需要掌握文件及其分布式处理技术，不再需要掌握各种复杂的网络技术，简化让业务开发变得更敏捷、更快速。;17.1 云原生架构内涵
云原生架构将哪些非功能性特性委托给云设施来解决？;高可用能力、容灾能力、安全特性、可运维性、易用性、可测试性、灰度发布能力等。;17.1 云原生架构内涵
云原生架构如何实现高度自动化的软件交付？;基于云原生的自动化软件交付可以把应用自动部署到成千上万的节点上。;17.1 云原生架构内涵
云原生的服务化原则是什么？;通过服务化架构把不同生命周期的模块分离出来，分别进行业务迭代。;17.1 云原生架构内涵
云原生的弹性原则是什么？;系统的部署规模可以随着业务量的变化而自动伸缩。;17.1 云原生架构内涵
云原生的可观测原则是什么？;通过日志、链路跟踪和度量等手段，使得多次服务调用的耗时、返回值和参数都清晰可见。;17.1 云原生架构内涵
云原生的韧性原则是什么？;软件所依赖的软硬件组件出现各种异常时，软件表现出来的抵御能力。;17.1 云原生架构内涵
云原生的“所有过程自动化原则”是什么？;让自动化工具理解交付目标和环境差异，实现整个软件交付和运维的自动化。;17.1 云原生架构内涵
云原生的零信任原则是什么？;不应该信任网络内部和外部的任何人/设备/系统，需要基于认证和授权重构访问控制的信任基础。;17.1 云原生架构内涵
云原生的“架构持续演进原则”是什么？;架构具备持续演进能力。;17.1 云原生架构内涵
云原生涉及的主要架构模式有哪些？（至少列出6种）;服务化架构模式、Mesh化架构模式、Serverless模式、存储计算分离模式、分布式事务模式、可观测架构、事件驱动架构。;17.1 云原生架构内涵
服务化架构模式的核心要求是什么？;以应用模块为颗粒度划分应用软件，以接口契约定义业务关系，以标准协议确保互联互通，结合DDD、TDD、容器化部署提升代码质量和迭代速度。;17.1 云原生架构内涵
Mesh化架构模式的作用是什么？;把中间件框架（如RPC、缓存、异步消息等）从业务进程中分离，让中间件SDK与业务代码进一步解耦，使中间件升级对业务无影响，迁移对业务透明。;17.1 云原生架构内涵
Serverless模式的工作方式是什么？适合哪些场景？;业务流量到来/事件发生时云启动业务进程处理，完成后自动关闭/调度进程。适合：事件驱动的数据计算任务、计算时间短的请求/响应应用、没有复杂相互调用的长周期任务。;17.1 云原生架构内涵
存储计算分离模式为什么能获得更好的弹性？;无状态应用不存在一致性维度，可以获得很好的可用性和分区容错性，从而获得更好的弹性。;17.1 云原生架构内涵
分布式事务中，XA模式的特点是什么？;采用两阶段提交（2PC），具有很强的一致性，但性能差（需要两次网络交互）。;17.1 云原生架构内涵
分布式事务中，基于消息的最终一致性（BASE）的特点是什么？;满足基本可用（BA）和最终一致性（E），接受数据软状态（S）以优先实现性能，但通用性有限。;17.1 云原生架构内涵
分布式事务中，TCC模式的特点是什么？;采用Try-Confirm-Cancel二阶段模式，事务隔离性可控、高效，但对业务侵入性强，设计开发维护成本高。;17.1 云原生架构内涵
分布式事务中，SAGA模式的特点是什么？;每个正向事务对应一个补偿事务，若正向事务失败则执行补偿事务回滚，开发维护成本高。;17.1 云原生架构内涵
分布式事务中，开源项目SEATA的AT模式的特点是什么？;将TCC的二阶段委托给底层代码框架，取消行锁，高性能且无代码开发工作量，可自动回滚，但有使用场景限制。;17.1 云原生架构内涵
可观测架构包括哪三个部分？分别提供什么能力？;Logging（多级别跟踪，如INFO/DEBUG/WARNING/ERROR）、Tracing（收集请求完整调用链路跟踪）、Metrics（多维度度量，如并发度、耗时、可用时长、容量等）。;17.1 云原生架构内涵
事件驱动架构（EDA）适用于哪些场景？;增强服务韧性、数据变化通知、构建开放式接口、事件流处理、CQRS（命令查询责任分离）等。;17.1 云原生架构内涵
典型的云原生反模式“庞大的单体应用”有哪些缺点？;缺乏依赖隔离、代码耦合、责任和模块边界不清晰、模块间接口缺乏治理、变更影响扩散、开发进度协调困难、子模块不稳定拖慢整体、只能整体扩容等。;17.1 云原生架构内涵
典型的云原生反模式“单体应用硬拆为微服务”的问题是什么？;强行拆分耦合度高、代码量少的模块；拆分后数据紧密耦合；拆分后变成分布式调用，严重影响性能。;17.1 云原生架构内涵
典型的云原生反模式“缺乏自动化能力的微服务”的后果是什么？;人均负责模块数上升，人均工作量增大，增加软件开发成本。;17.1 云原生架构内涵
什么是容器技术？;容器作为标准化软件基础单元，将应用及其所有依赖项打包发布，由于依赖项齐备，应用不再受环境限制，可在不同计算环境间快速、可靠地运行。;17.2 云原生架构相关技术
容器编排技术包括哪些能力？;资源调度、应用部署与管理、自动修复、服务发现与负载均衡、弹性伸缩、声明式API、可扩展性架构、可移植性。;17.2 云原生架构相关技术
