Front;Back;Tag
什么是层次式体系结构设计？;层次式体系结构设计将系统组成为一个层次结构，每一层为上层服务并作为下层客户。内部的层接口只对相邻的层可见，每层最多只影响两层，允许每层用不同方法实现，为软件重用提供支持。;16.1 层次式体系结构概述
层次式体系结构设计中，每一层最多影响几层？;最多影响两层。;16.1 层次式体系结构概述
大部分层次式应用分为哪四个层次？;表现层（展示层）、中间层（业务层）、访问层（持久层）和数据层。;16.1 层次式体系结构概述
采用分层架构设计的一个主要特点是什么？;关注点分离。每层组件只负责本层逻辑，易于明确角色和职责，容易开发、测试、管理和维护。;16.1 层次式体系结构概述
层次式体系结构的“污水池反模式”（Architecture Sinkhole Anti-pattern）指什么？;请求流简单地穿过几个层，每层里面基本没有做任何业务逻辑，或者做了很少的业务逻辑。例如业务逻辑层只是简单调用持久层接口，本身没有业务逻辑。;16.1 层次式体系结构概述
分层架构可能带来的一个缺点是什么？;可能会让应用变得庞大。;16.1 层次式体系结构概述
MVC模式中，控制器、模型、视图各自的作用是什么？;控制器：接受用户输入，调用模型和视图完成用户需求；模型：应用程序主体，表示业务数据和业务逻辑；视图：用户界面。;16.2 表现层框架设计
使用MVC模式设计表现层有哪些优点？;1.允许多种用户界面的扩展；2.易于维护；3.易于构建功能强大的用户界面；4.增加应用的可拓展性、强壮性、灵活性。;16.2 表现层框架设计
MVP模式与MVC模式的主要区别是什么？;MVP中Model提供数据，View负责显示，Presenter负责逻辑处理。MVP避免了View和Model之间的耦合，并进一步降低了Presenter对View的依赖。;16.2 表现层框架设计
使用MVP模式设计表现层有哪些优点？;1.模型与视图完全分离，可修改视图不影响模型；2.所有交互发生在Presenter内部，可更高效使用模型；3.一个Presenter可用于多个视图；4.可将逻辑放在Presenter中，脱离用户接口进行单元测试。;16.2 表现层框架设计
MVVM模式的核心是什么？如何实现View与Model的通信？;核心是ViewModel。View与Model不能直接通信，只能通过ViewModel交互。通过DataBinding实现View与Model之间的双向绑定。;16.2 表现层框架设计
MVVM中ViewModel的内容包括哪些？;数据状态处理、数据绑定及数据转换。;16.2 表现层框架设计
业务逻辑层组件设计中，组件分为哪两个部分？接口的作用是什么？;分为接口和实现类。接口用于定义业务逻辑组件必须实现的方法，是整个系统运行的核心。;16.3 中间层框架设计
业务逻辑层通常按什么来设计组件？每个组件以什么为基础？;按模块设计业务逻辑组件，每个业务逻辑组件以多个数据访问对象（DAO）组件为基础。;16.3 中间层框架设计
工作流管理联盟（WFMC）如何定义工作流？;业务流程的全部或部分自动化，在此过程中，文档、信息或任务按照一定的过程规则流转，实现组织成员间的协调工作以达到业务的整体目标。;16.3 中间层框架设计
业务逻辑层实体的特点是什么？;提供对业务数据及相关功能的状态编程访问；可使用来自数据库多个相关表的复杂数据构建；可作为业务过程的I/O参数传递；可序列化以保持当前状态。;16.3 中间层框架设计
业务逻辑框架中，Domain Model、Service、Control分别指什么？;Domain Model：仅包含业务相关属性的领域层业务对象；Service：业务过程的功能单元，通过定义好的接口和契约联系；Control：服务控制器，服务之间的纽带，实现服务切换。;16.3 中间层框架设计
数据访问模式的五种类型是什么？;在线访问、Data Access Object（DAO）、Data Transfer Object（DTO）、离线数据模式、对象/关系映射（ORM）。;16.4 数据访问层设计
什么是在线访问模式？;最常用的方式。访问占用一个数据库连接，读取数据，每个数据库操作都通过这个连接与后台数据源交互。;16.4 数据访问层设计
Data Access Object（DAO）模式的作用和典型组成部分是什么？;将底层数据访问操作与高层业务逻辑分离。典型实现包括：一个DAO工厂类、一个DAO接口、一个实现了DAO接口的具体类、数据传输对象。;16.4 数据访问层设计
Data Transfer Object（DTO）模式的作用是什么？;DTO是一组对象或容器，用于跨越不同进程或网络边界传输数据。;16.4 数据访问层设计
离线数据模式的特点是什么？;以数据为中心，数据从数据源获取后按预定义结构存放，成为应用中心。对数据的操作独立于后台数据源的连接或事务。;16.4 数据访问层设计
对象/关系映射（ORM）的作用是什么？;利用工具或平台帮助将应用程序中的数据转换成关系型数据库中的记录，或将数据库记录转换成代码中便于操作的对象。;16.4 数据访问层设计
工厂模式在数据访问层中的应用是什么？;定义一个用于创建对象的接口，让子类决定实例化哪个类。当需要处理多种数据库时，先定义操纵数据库的接口，然后由类工厂根据数据库类型决定实例化哪个类。;16.4 数据访问层设计
ORM（Object-Relation Mapping）的核心理念是什么？;在关系型数据库和对象之间作映射，操作数据库时不需要直接写SQL，像操作普通对象一样操作即可。;16.4 数据访问层设计
Hibernate在ORM中的作用是什么？;一个功能强大的O/R映射方案，推动基于普通Java对象模型用于映射底层数据结构的持久对象的开发。;16.4 数据访问层设计
XML Schema的作用是什么？;用来描述XML文档的合法结构、内容和限制，提供丰富的数据类型。;16.4 数据访问层设计
事务必须服从的ACID原则是什么？;原子性（Atomicity）、一致性（Consistency）、隔离性（Isolation）和持久性（Durability）。;16.4 数据访问层设计
ACID中，原子性的含义是什么？;事务执行过程中的任何失败都将导致事务所做的任何修改失效。;16.4 数据访问层设计
ACID中，一致性的含义是什么？;当事务执行失败时，所有被该事务影响的数据都应该恢复到事务执行前的状态。;16.4 数据访问层设计
ACID中，隔离性的含义是什么？;在事务执行过程中对数据的修改，在事务提交之前对其他事务不可见。;16.4 数据访问层设计
ACID中，持久性的含义是什么？;已提交的数据在事务执行失败时，数据的状态都应该正确。;16.4 数据访问层设计
连接对象管理设计中，数据库连接池的作用是什么？;建立数据库连接池，提供一套高效的连接分配、使用策略，保证数据库连接的有效复用。;16.4 数据访问层设计
数据库设计与类的设计融合中，好模型的目标是什么？;将工程项目整个生存期内的花费减至最小，同时考虑到随时间推移系统可能发生的变化，设计时也要能适应这些变化。;16.5 数据架构规划与设计
XML文档的两种存储方式分别是什么？;基于文件的存储方式和数据库存储方式。;16.5 数据架构规划与设计
物联网层次架构分为哪三层？;感知层、网络层、应用层。;16.6 物联网层次架构设计
物联网感知层的主要功能和组件有哪些？;用于识别物体、采集信息。包括二维码标签和识读器、RFID标签和读写器、摄像头、GPS、传感器、M2M终端、传感器网关等。;16.6 物联网层次架构设计
物联网网络层的主要功能和类比是什么？;用于传递信息和处理信息。包括通信网与互联网的融合网络、网络管理中心、信息中心和智能处理中心等。类似于人体结构中的神经中枢和大脑。;16.6 物联网层次架构设计
物联网应用层的主要功能和类比是什么？;实现广泛智能化，是物联网与行业专业技术的深度融合，结合行业需求实现行业智能化。类似于人们的社会分工。;16.6 物联网层次架构设计
