Front;Back;Tag
计算机网络的性能指标主要包括哪些方面？;主要包括速率、带宽、吞吐量和时延等。;3.1 网络的基本概念
计算机网络的非性能指标主要包括哪些方面？;主要包括费用、质量、标准化、可靠性、可扩展性、可升级性、易管理性和可维护性等。;3.1 网络的基本概念
逻辑信道和物理信道的主要区别是什么？;物理信道是传输介质；逻辑信道是建立在物理信道之上的虚拟线路，可以是有连接或无连接的。;3.2 通信技术
复用技术（Multiplexing）和多址技术（Multiple Access）的核心区别是什么？;复用技术是在一条信道上同时传输多路数据（如一辆车运多种货）；多址技术是在一条线上同时传输多个用户的数据（如一辆车上的货属于不同用户）。;3.2 通信技术
请列举常见的复用技术和多址技术。;复用技术包括 TDM（时分复用）、FDM（频分复用）、CDM（码分复用）；多址技术包括 TDMA（时分多址）、FDMA（频分多址）、CDMA（码分多址）。;3.2 通信技术
5G 通信网络相比前代技术主要具备哪些优点？;具有高速率、低时延、接入用户数高等优点。;3.2 通信技术
局域网（LAN）的定义是什么？;是指在有限地理范围内将若干计算机通过传输介质互联成的封闭型的计算机网络。;3.3 网络技术
以太网（Ethernet）数据帧的最小长度和最大长度分别是多少？;最小长度必须不小于 64 字节，最大长度一般是 1518 字节。;3.3 网络技术
设置以太网最小帧长的目的是什么？;是为了避免冲突，其长度是根据网络中检测冲突的最长时间来定的。;3.3 网络技术
无线局域网（WLAN）采用的标准是什么？802.11n 和 802.11ac 的传输速率分别是多少？;采用 IEEE 802.11 标准；802.11n 可达 200Mb/s，802.11ac 可达 1Gb/s。;3.3 网络技术
广域网（WAN）主要由哪两部分组成？;由通信子网与资源子网组成。;3.3 网络技术
广域网相关技术主要包括哪些？;包括同步光网络（SONET）、同步数字体系（SDH）、数字数据网（DDN）、帧中继（FR）和异步传输技术（ATM）。;3.3 网络技术
城域网（MAN）通常分为哪三个层次？;通常分为核心层、汇聚层和接入层。;3.3 网络技术
5G 网络的主要特征是什么？;主要特征为服务化架构（SBA）和网络切片技术。;3.3 网络技术
5G 中的服务化架构（SBA）和网络切片技术分别有什么作用？;SBA 实现网络功能的灵活定制和按需组合；网络切片技术可在单个物理网络中切分出多个分离的逻辑网络用于不同业务。;3.3 网络技术
集线器（Hub）和中继器（Repeater）工作在网络模型的哪一层？;工作在物理层。;3.4 组网技术
网桥（Bridge）和交换机（Switcher）工作在网络模型的哪一层？;工作在数据链路层。;3.4 组网技术
路由器（Router）和防火墙（Firewall）主要工作在网络模型的哪一层？;主要工作在网络层。;3.4 组网技术
在OSI/RM七层模型中，哪一层负责实现端到端的数据透明传送，并保证数据包无差错、按顺序、无丢失地传输？;传输层。其服务访问点为端口，TCP协议是其典型代表。;3.4 组网技术
在OSI/RM七层模型中，哪一层负责路由选择、拥塞控制和网络互连？;网络层。其主要功能包括虚电路分组交换、数据报分组交换及路由选择算法。;3.4 组网技术
在OSI/RM七层模型中，物理层的主要功能是什么？;在物理链路上传输比特流，定义了物理链路所具备的机械、电气、功能和规程特性。;3.4 组网技术
在OSI/RM七层模型中，表示层的主要功能是什么？;管理数据表示方式，包括数据编码约定和本地句法转换，使不同类型的终端可以互相通信。;3.4 组网技术
在OSI/RM七层模型中，会话层的主要功能是什么?;建立和维护会话连接，负责管理远程用户或进程间的通信，并维持双方的同步。;3.4 组网技术
在TCP/IP模型中，与OSI模型的“网络层”相对应的是哪一层？;网际层。;3.4 组网技术
在TCP/IP协议栈中，属于“网络接口层”的协议或技术有哪些？;Ethernet、IEEE 802.3、FDDI、Token-Ring/IEEE 802.3硬件层、ARCnet。;3.4 组网技术
在TCP/IP协议栈中，属于“应用层”的协议有哪些？;文件传输协议（FTP）、远程登录协议（Telnet）、电子邮件协议（SMTP）、网络文件服务协议（NFS）、网络管理协议（SNMP）。;3.4 组网技术
在TCP/IP协议栈中，传输层包含哪两个主要协议？;TCP（传输控制协议）和UDP（用户数据报协议）。;3.4 组网技术
在TCP/IP协议栈中，网际层包含哪两个主要协议？;IP（网际协议）和ICMP（互联网控制消息协议）。;3.4 组网技术
在TCP/IP协议栈中，ARP和RARP协议属于哪一层？;属于网际层。;3.4 组网技术
OSI/RM七层模型从下到上的顺序是什么？;物理层、数据链路层、网络层、传输层、会话层、表示层、应用层。;3.4 组网技术
