Front;Back;Tag
系统工程方法的 5 个主要特点是什么？;整体性、综合性、协调性、科学性、实践性。;6.1 系统工程 - 定义与特点
霍尔三维结构由哪三个维度组成？;时间维、逻辑维、知识维。;6.1 系统工程 - 霍尔三维结构
霍尔三维结构中，时间维的 7 个阶段是什么？;规划、拟订方案、研制、生产、安装、运行、更新。;6.1 系统工程 - 霍尔三维结构
霍尔三维结构中，逻辑维的 7 个步骤是什么？;明确问题、确定目标、系统综合、系统分析、优化、决策、实施。;6.1 系统工程 - 霍尔三维结构
切克兰德方法的核心思想是什么？与霍尔方法有何不同？;核心是“比较”与“探寻”；不同点：切克兰德不强求“最优化”，适用于软系统（如管理问题）。;6.1 系统工程 - 切克兰德方法
并行工程（Concurrent Engineering）的主要目标是什么？;提高质量、降低成本、缩短产品开发周期和产品上市时间。;6.1 系统工程 - 并行工程
钱学森提出的综合集成法主要针对哪类系统？;开放的复杂巨系统。;6.1 系统工程 - 综合集成法
WSR 系统方法中的 W、S、R 分别代表什么？;物理（Wuli）、事理（Shili）、人理（Renli）。;6.1 系统工程 - WSR 方法
WSR 系统方法的一般工作过程包括哪 7 步？;理解意图、制定目标、调查分析、构造策略、选择方案、协调关系、实现构想。;6.1 系统工程 - WSR 方法
系统工程的生命周期包括哪 7 个阶段？;探索研究、概念阶段、开发阶段、生产阶段、使用阶段、保障阶段、退役阶段。;6.1 系统工程 - 生命周期
基于模型的系统工程（MBSE）的核心定义是什么？;是建模方法的形式化应用，支持系统需求、分析、设计、验证和确认等活动，贯穿全生命周期。;6.1 系统工程 - MBSE
MBSE 在需求分析、功能分析、设计综合阶段分别产生哪些主要图形？;需求分析：需求图、用例图、包图；功能分析：顺序图、活动图、状态机图；设计综合：模块定义图、内部块图、参数图。;6.1 系统工程 - MBSE
系统工程的三大支柱是什么？;建模语言、建模工具、建模思路。;6.1 系统工程 - MBSE
Front;Back;Tag
评价计算机的主要性能指标有哪些？;时钟频率（主频）、运算速度、运算精度、数据处理速率（PDR）、吞吐率等。;6.2 系统性能 - 评价指标
评价路由器的主要性能指标有哪些？;设备吞吐量、端口吞吐量、全双工线速转发能力、路由表能力、背板能力、丢包率、时延、时延抖动等。;6.2 系统性能 - 评价指标
评价操作系统的性能指标有哪些？;系统上下文切换、系统响应时间、系统吞吐率、系统资源利用率、可靠性、可移植性。;6.2 系统性能 - 评价指标
衡量数据库管理系统的主要性能指标有哪些？;最大并发事务处理能力、负载均衡能力、最大连接数等。;6.2 系统性能 - 评价指标
评价 Web 服务器的主要性能指标有哪些？;最大并发连接数、响应延迟、吞吐量。;6.2 系统性能 - 评价指标
MIPS（每秒百万次指令数）的计算公式是什么？;MIPS = 指令条数 / (执行时间 × 10^6)。;6.2 系统性能 - 性能计算
理论浮点峰值的计算公式是什么？;理论浮点峰值 = CPU 主频 × CPU 每个时钟周期执行浮点运算的次数 × 系统中 CPU 数。;6.2 系统性能 - 性能计算
阿姆达尔定律中，总加速比的计算公式是什么？;总加速比 = 1 / [(1 - 增强比例) + 增强比例 / 增强加速比]。;6.2 系统性能 - 阿姆达尔定律
阿姆达尔定律的核心结论是什么？;系统性能的改变程度取决于该部件在总执行时间中所占的比例（即使某部分提速很大，如果占比小，整体提升也有限）。;6.2 系统性能 - 阿姆达尔定律
基准测试程序（Benchmark）评测准确程度从高到低的排序是什么？;真实的程序 > 核心程序 > 小型基准程序 > 合成基准程序。;6.2 系统性能 - 性能评估
Dhrystone、Linpack、TPC 基准测试程序分别用于测试什么？;Dhrystone：整数性能；Linpack：浮点性能；TPC：数据库性能。;6.2 系统性能 - 基准测试
Web 服务器的性能评测方法主要有哪些？;基准性能测试、压力测试、可靠性测试。;6.2 系统性能 - 性能评估
系统监视的 3 种常用方法是什么？;系统内置命令（如 ps, netstat）、查阅系统日志、可视化技术（如 Perfmon）。;6.2 系统性能 - 性能评估
数据库系统性能调整主要包括哪些方面？;CPU/内存使用、优化数据库设计（索引等）、优化数据库管理（分区、缓存）、进程/线程状态、硬盘 I/O、日志管理。;6.2 系统性能 - 性能调整
