Front;Back;Tag
软件系统质量属性基于生命周期分为哪两大类？;开发期质量属性和运行期质量属性。;10.1 软件系统质量属性
开发期质量属性包括哪些子属性？;易理解性、可扩展性、可重用性、可测试性、可维护性、可移植性。;10.1 软件系统质量属性
开发期质量属性中，易理解性的作用及要点是什么？;指设计被开发人员理解的难易程度。;10.1 软件系统质量属性
开发期质量属性中，可扩展性的作用及要点是什么？;软件因适应新需求或需求变化而增加新功能的能力，也称灵活性。;10.1 软件系统质量属性
开发期质量属性中，可重用性的作用及要点是什么？;指重用软件系统或某一部分的难易程度。;10.1 软件系统质量属性
开发期质量属性中，可测试性的作用及要点是什么？;对软件测试以证明其满足需求规范的难易程度。;10.1 软件系统质量属性
开发期质量属性中，可维护性的作用及要点是什么？;当需要修改缺陷、增加功能、提高质量属性时，识别修改点并实施修改的难易程度。;10.1 软件系统质量属性
开发期质量属性中，可移植性的作用及要点是什么？;将软件系统从一个运行环境转移到另一个不同的运行环境的难易程度。;10.1 软件系统质量属性
运行期质量属性包括哪些子属性？;性能、安全性、可伸缩性、互操作性、可靠性、可用性、鲁棒性。;10.1 软件系统质量属性
运行期质量属性中，性能的作用及要点是什么？;软件系统及时提供相应服务的能力，如速度、吞吐量和容量等。;10.1 软件系统质量属性
运行期质量属性中，安全性的作用及要点是什么？;软件系统同时兼顾向合法用户提供服务，以及阻止非授权使用的能力。;10.1 软件系统质量属性
运行期质量属性中，可伸缩性的作用及要点是什么？;当用户数和数据量增加时，软件系统维持高质量服务的能力。;10.1 软件系统质量属性
运行期质量属性中，互操作性的作用及要点是什么？;软件系统与其他系统交换数据和相互调用服务的难易程度。;10.1 软件系统质量属性
运行期质量属性中，可靠性的作用及要点是什么？;软件系统在一定的时间内持续无故障运行的能力。;10.1 软件系统质量属性
运行期质量属性中，可用性的作用及要点是什么？;系统在一定时间内正常工作的时间所占比例。;10.1 软件系统质量属性
运行期质量属性中，鲁棒性的作用及要点是什么？;软件系统在非正常情况下（用户非法操作、软硬件故障）仍正常运行的能力，也称健壮性或容错性。;10.1 软件系统质量属性
在架构评估中，性能属性的效率指标指什么？;处理任务所需时间或单位时间内的处理量。;10.1 软件系统质量属性
在架构评估中，可靠性属性的两个子属性及作用是什么？;容错：出现错误后仍能保证系统正常执行且自行修正错误；健壮性：错误不对系统产生影响，按既定程序忽略错误。;10.1 软件系统质量属性
在架构评估中，可修改性包含哪四个子属性？;可维护性、可扩展性、结构重组、可移植性。;10.1 软件系统质量属性
在架构评估中，可修改性的“可维护性”子属性作用是什么？;局部修复使故障对架构的负面影响最小化。;10.1 软件系统质量属性
在架构评估中，可修改性的“可扩展性”子属性作用是什么？;因松散耦合更易实现新特性/功能，不影响架构。;10.1 软件系统质量属性
在架构评估中，可修改性的“结构重组”子属性作用是什么？;不影响主体进行的灵活配置。;10.1 软件系统质量属性
在架构评估中，可修改性的“可移植性”子属性作用是什么？;适用于多样的环境（硬件平台、语言、操作系统等）。;10.1 软件系统质量属性
