Front;Back;Tag
信息安全的定义是什么？;为数据处理系统采取技术和管理的安全保护，保护计算机硬件、软件、数据不因偶然或恶意的原因而遭到破坏、更改和泄露。;5.1 信息安全基础知识 - 定义
信息安全的 5 个基本要素是什么？;机密性、完整性、可用性、可控性、可审查性。;5.1 信息安全基础知识 - 基本要素
信息安全的范围包括哪 4 个方面？;设备安全、数据安全、内容安全、行为安全。;5.1 信息安全基础知识 - 范围
数据安全主要包括哪 3 个方面？;秘密性（机密性）、完整性、可用性。;5.1 信息安全基础知识 - 数据安全
信息存储安全涉及哪些主要措施？;信息使用的安全、系统安全监控、计算机病毒防治、数据的加密、防止非法攻击等。;5.1 信息安全基础知识 - 存储安全
网络安全漏洞和隐患主要表现在哪 3 个方面？;物理安全性、软件安全漏洞、不兼容使用安全漏洞。;5.1 信息安全基础知识 - 网络安全
网络安全威胁的主要表现形式有哪些？;非授权访问、信息泄露或丢失、破坏数据完整性、拒绝服务攻击、利用网络传播病毒。;5.1 信息安全基础知识 - 网络安全
网络安全措施的 5 大目标是什么？;访问控制、认证、完整性、审计、保密。;5.1 信息安全基础知识 - 网络安全
【5要素】信息安全的“机密性”是指什么？;确保信息不暴露给未授权的实体或进程。;5.1 信息安全基础知识 - 五大要素
【5要素】信息安全的“完整性”是指什么？;只有得到允许的人才能修改数据，并且能够判别出数据是否已被篡改。;5.1 信息安全基础知识 - 五大要素
【5要素】信息安全的“可用性”是指什么？;得到授权的实体在需要时可访问数据，即攻击者不能占用所有的资源而阻碍授权者的工作。;5.1 信息安全基础知识 - 五大要素
【5要素】信息安全的“可控性”是指什么？;可以控制授权范围内的信息流向及行为方式。;5.1 信息安全基础知识 - 五大要素
【5要素】信息安全的“可审查性”是指什么？;对出现的信息安全问题提供调查的依据和手段。;5.1 信息安全基础知识 - 五大要素
【设备安全】设备安全的三个维度（稳定性、可靠性、可用性）分别指什么？;1. 稳定性：设备在一定时间内不出故障的概率；2. 可靠性：设备在一定时间内正常执行任务的概率；3. 可用性：设备可以正常使用的概率。;5.1 信息安全基础知识 - 设备安全
【数据安全】数据安全的三个属性（秘密性、完整性、可用性）分别指什么？;1. 秘密性：数据不受未授权者知晓；2. 完整性：数据正确、真实、未被篡改；3. 可用性：数据可以随时正常使用。;5.1 信息安全基础知识 - 数据安全
【内容安全】内容安全在政治、法律、道德三个层次上的要求是什么？;1. 政治上是健康的；2. 符合国家法律法规；3. 符合中华民族优良的道德规范。;5.1 信息安全基础知识 - 内容安全
【行为安全】行为安全的三个特性（秘密性、完整性、可控性）分别指什么？;1. 秘密性：行为过程和结果不危害数据秘密性；2. 完整性：行为过程和结果不危害数据完整性且是预期的；3. 可控性：当行为偏离预期时，能发现、控制和纠正。;5.1 信息安全基础知识 - 行为安全
Front;Back;Tag
信息安全系统的组成框架由哪三大体系构成？;技术体系、组织机构体系、管理体系。;5.2 信息安全系统的组成框架
信息安全系统的“组织机构体系”分为哪三个层次？;决策层、管理层、执行层。;5.2 信息安全系统的组成框架 - 组织机构
信息安全系统的“管理体系”由哪三个部分组成？;法律管理、制度管理、培训管理。;5.2 信息安全系统的组成框架 - 管理体系
对称密钥加密算法的核心特点是什么？;加密密钥和解密密钥相同（共享密钥）。;5.3 信息加解密技术 - 对称加密
DES 算法的明文分组长度和密钥长度分别是多少？;明文分组 64 位，密钥长度 56 位。;5.3 信息加解密技术 - DES
三重 DES（3DES）的密钥长度是多少？;112 位（使用两把 56 位密钥）。;5.3 信息加解密技术 - 3DES
IDEA 算法的分组长度和密钥长度分别是多少？;分组长度 64 位，密钥长度 128 位。;5.3 信息加解密技术 - IDEA
AES 算法的分组长度和支持的密钥长度有哪些？;分组长度 128 位；支持 128、192、256 位三种密钥长度。;5.3 信息加解密技术 - AES
SM4 国密算法的分组长度和密钥长度是多少？;分组长度和密钥长度均为 128 位。;5.3 信息加解密技术 - SM4
非对称密钥加密算法的核心特点是什么？;加密密钥（公钥）和解密密钥（私钥）不相同。;5.3 信息加解密技术 - 非对称加密
在非对称加密中，如何实现“保密通信”和“数字签名”？;公钥加密、私钥解密 -> 保密通信；私钥加密、公钥解密 -> 数字签名。;5.3 信息加解密技术 - 非对称加密
RSA 算法的安全性基于什么数学难题？其速度如何？;基于大素数分解的困难性；速度较慢（比同级别对称加密慢约 1000 倍）。;5.3 信息加解密技术 - RSA
SM2 国密算法基于什么数学难题？与 RSA 相比有何优势？;基于椭圆曲线离散对数问题；在相同安全程度下，密钥长度和计算规模比 RSA 小得多。;5.3 信息加解密技术 - SM2
Front;Back;Tag
密钥分配中心（KDC）在密钥分配中扮演什么角色？;它是第三方加密方式中的“第三方”，负责密钥的分配和发送。;5.4 密钥管理技术 - KDC
公钥加密体制的密钥管理主要有哪 4 种方式？;直接公开发布（如 PGP）、公用目录表、公钥管理机构、公钥证书。;5.4 密钥管理技术 - 公钥管理
公钥证书的管理机构是什么？;证书管理机构（CA, Certificate Authority）。;5.4 密钥管理技术 - CA
访问控制技术的 3 个要素是什么？;主体、客体、控制策略。;5.5 访问控制 - 基本模型
访问控制包括哪 3 个方面的内容？其中审计的目的是什么？;包括认证、控制策略实现、审计；审计的目的是防止滥用权力。;5.5 访问控制 - 基本模型
访问控制矩阵（ACM）是如何定义的？其缺点是什么？;以主体为行、客体为列的矩阵；当主客体元素很多时，实现困难。;5.5 访问控制 - 实现技术
访问控制表（ACL）和能力表（Capabilities）分别是如何保存访问矩阵的？;ACL 按列（客体）保存；能力表按行（主体）保存。;5.5 访问控制 - 实现技术
目前最流行、使用最多的访问控制实现技术是什么？;访问控制表（ACL）。;5.5 访问控制 - 实现技术
授权关系表（Authorization Relations）适用于什么场景？;适用于矩阵是稀疏矩阵的时候（抽取非空元素），常用于安全数据库系统。;5.5 访问控制 - 实现技术
数字签名必须满足的 5 个条件是什么？;可信、不可伪造、不可重用、不可改变、不可抵赖。;5.5 访问控制 - 数字签名
基于对称密钥的签名与基于公钥的数字签名有何区别？;对称签名只能在两方间实现且需仲裁人；公钥签名可在多方间实现，无需仲裁且可重复验证。;5.5 访问控制 - 数字签名
实际应用中，为什么要先对文件做摘要再进行签名？;为了大大提升数字签名的速度；且摘要的泄露不影响文件保密。;5.5 访问控制 - 数字签名
Front;Back;Tag
密钥分为数据加密密钥（DK）和密钥加密密钥（KK），KK 的作用是什么？;用于保护密钥（即加密其他密钥）。;5.6 抗攻击技术 - 密钥选择
为对抗攻击，密钥生成需要考虑哪 3 个因素？;增大密钥空间、选择强钥、密钥的随机性。;5.6 抗攻击技术 - 密钥选择
拒绝服务（DoS）攻击主要侵犯了信息安全的哪个要素？;可用性。;5.6 抗攻击技术 - DoS
传统的 DoS 攻击主要分为哪 4 种模式？;消耗资源、破坏或更改配置信息、物理破坏或改变网络部件、利用服务程序中的处理错误使服务失效。;5.6 抗攻击技术 - DoS
