Front;Back;Tag
什么是信息物理系统（CPS）？;CPS是控制系统、嵌入式系统的扩展与延伸，通过集成先进的感知、计算、通信、控制等信息技术和自动控制技术，构建物理空间与信息空间中多要素相互映射、适时交互、高效协同的复杂系统，实现系统内资源配置和运行的按需响应、快速迭代、动态优化。;13.1 信息物理系统技术概述
CPS的本质是什么？;构建一套信息空间与物理空间之间基于数据自动流动的状态感知、实时分析、科学决策、精准执行的闭环赋能体系，解决生产制造、应用服务过程中的复杂性和不确定性问题，提高资源配置效率，实现资源优化。;13.1 信息物理系统技术概述
CPS的体系结构分为哪三级？;单元级、系统级、SOS级。;13.1 信息物理系统技术概述
CPS技术体系主要包括哪三类技术？;CPS总体技术（顶层设计技术）、CPS支撑技术（基于应用支撑）、CPS核心技术（基础技术）。;13.1 信息物理系统技术概述
CPS的四大核心技术要素是什么？分别指什么？;一硬（感知和自动控制，CPS实现的硬件支撑）、一软（工业软件，CPS核心）、一网（工业网络，网络载体）、一平台（工业云和智能服务平台，支撑上层解决方案的基础）。;13.1 信息物理系统技术概述
CPS的典型应用场景包括哪四个方面？;智能设计、智能生产、智能服务、智能应用。;13.1 信息物理系统技术概述
CPS的建设路径是什么？;CPS体系设计 → 单元级CPS建设 → 系统级CPS建设 → SOS级CPS建设。;13.1 信息物理系统技术概述
人工智能的定义是什么？;利用数字计算机或数字计算机控制的机器模拟、延伸和扩展人的智能，感知环境、获取知识并使用知识获得最佳结果的理论、方法、技术及应用系统。;13.2 人工智能技术概述
人工智能根据能否真正实现推理、思考和解决问题，分为哪两类？;弱人工智能和强人工智能。;13.2 人工智能技术概述
简述人工智能的主要发展历程（按顺序列出关键节点）。;图灵测试 → “人工智能”术语 → 机器学习 → 专家系统 → 计算机战胜双陆棋世界冠军 → 决策树模型和神经网络 → IBM深蓝战胜国际象棋世界冠军 → 深度学习 → 爆发式发展。;13.2 人工智能技术概述
自然语言处理包括哪些子领域？;机器翻译、语义理解、问答系统等。;13.2 人工智能技术概述
计算机视觉可应用于哪些领域？;自动驾驶、机器人、智能医疗。;13.2 人工智能技术概述
知识图谱可用于哪些安全领域？;发欺诈、不一致性验证、组团欺诈等对公共安全保障形成威胁的领域。;13.2 人工智能技术概述
人机交互包括哪些交互方式？;传统的基本交互、图形交互、语音交互、情感交互、体感交互及脑机交互等。;13.2 人工智能技术概述
什么是虚拟现实或增强现实？;在一定范围内生成与真实环境在视觉、听觉等方面高度近似的数字化环境。;13.2 人工智能技术概述
机器学习按学习模式不同分为哪四种？;监督学习（需提供标注的样本集）、无监督学习（不需提供标注的样本集）、半监督学习（需提供少量标注的样本集）、强化学习（需反馈机制）。;13.2 人工智能技术概述
