Front;Back;Tag
嵌入式系统（Embedded System）的定义是什么？;嵌入式系统是以特定应用为中心、以计算机技术为基础，并将可配置与可裁剪的软、硬件集成于一体的专用计算机系统。;2.1 嵌入式系统的组成及特点
嵌入式处理器的民用、工业和军用级器件的工作温度范围分别是多少？;民用级：0～70℃；工业级：−40～85℃；军用级：−55～150℃。;2.1 嵌入式系统的组成及特点
嵌入式操作系统与通用操作系统相比，应具备哪三个主要特征？;实时性、可裁剪性和安全性。;2.1 嵌入式系统的组成及特点
嵌入式应用软件是指什么？;是指为完成嵌入式系统的某一专用目标所开发的软件。;2.1 嵌入式系统的组成及特点
嵌入式系统具有哪八个主要特点？;(1) 专用性强；(2) 技术融合；(3) 软硬一体软件为主；(4) 资源受限；(5) 程序代码固化在 ROM 中；(6) 需专门开发工具和环境；(7) 体积小、价格低、性价比高；(8) 对安全性和可靠性要求高。;2.1 嵌入式系统的组成及特点
为什么嵌入式系统的程序代码通常固化在 ROM 中？;为了提高执行速度和系统可靠性。;2.1 嵌入式系统的组成及特点
根据用途，嵌入式系统主要分为哪两大类？;分为嵌入式实时系统和嵌入式非实时系统。;2.2 嵌入式系统的分类
实时系统（RTS）可以进一步分为哪两种？;可分为强实时（Hard Real-Time）系统和弱实时（Weak Real-Time）系统。;2.2 嵌入式系统的分类
从安全性要求看，嵌入式系统如何分类？;可分为安全攸关（Safety-Critical）系统和非安全攸关系统。;2.2 嵌入式系统的分类
实时系统（Real-Time System，RTS）的定义是什么？;是指能够在规定的时间内完成系统功能和做出响应的系统。;2.2 嵌入式系统的分类
安全攸关系统（Safety-Critical System）的定义是什么？;是指其不正确的功能或者失效会导致人员伤亡、财产损失等严重后果的计算机系统。;2.2 嵌入式系统的分类
在嵌入式开发中，“宿主机”和“目标机”分别指什么环境？;运行环境称为“目标机”环境，开发环境称为“宿主机”环境。;2.3 嵌入式软件的组成及特点
嵌入式系统的基本开发工具包括哪三种？;交叉编译器、交叉链接器和源代码调试器。;2.3 嵌入式软件的组成及特点
从细节上看，嵌入式系统架构分为哪五层？;(1) 硬件层；(2) 抽象层；(3) 操作系统层；(4) 中间件层；(5) 应用层。;2.3 嵌入式软件的组成及特点
嵌入式架构中的“抽象层”包含哪两个主要部分？;包括硬件抽象层（HAL）和板级支持包（BSP）。;2.3 嵌入式软件的组成及特点
硬件抽象层（HAL）和板级支持包（BSP）的主要作用分别是什么？;HAL为上层应用（操作系统）提供虚拟的硬件资源；BSP为上层操作系统提供对硬件进行管理的支持。;2.3 嵌入式软件的组成及特点
嵌入式中间件层常用的技术或组件有哪些？;常用的有嵌入式数据库、OpenGL、消息中间件、Java 中间件、虚拟机（VM）、DDS/CORBA 和 Hadoop 等。;2.3 嵌入式软件的组成及特点
嵌入式软件的“可剪裁性”和“可配置性”主要通过哪些设计方法实现？;可剪裁性：静态编译、动态库和控制函数流程；可配置性：数据驱动、静态编译和配置表。;2.3 嵌入式软件的组成及特点
