Front;Back;Tag
冯·诺依曼计算机结构将硬件划分为哪5个部分？;运算器、控制器、存储器、输入设备、输出设备；现实中控制单元和运算单元集成称为CPU;1.2 计算机硬件基础知识
典型的处理器系统中，GPU常用于什么场景？;并行运行大量计算（图形处理）;1.2 计算机硬件基础知识
典型的处理器系统中，DSP专用于什么类型的信号处理？;实时的数字信号处理;1.2 计算机硬件基础知识
常见的专用处理器芯片有哪些类型？;GPU、DSP、FPGA;1.2 计算机硬件基础知识
CISC和RISC指令集系统的代表分别是什么？;CISC：Intel/AMD x86；RISC：ARM/Power（国产如龙芯等常采用RISC架构）;1.2 计算机硬件基础知识
存储器按照与处理器的物理距离可分为哪4个层次？;片上缓存、片外缓存、主存（内存）、外存;访问速度依次降低，容量依次提高;1.2 计算机硬件基础知识
并行总线与串行总线的主要区别是什么？;并行：多条双向数据线，适合近距离；串行：一条或两条线，适合长距离通信;1.2 计算机硬件基础知识
什么是接口？它主要定义了什么内容？;同一计算机不同功能层之间的通信规则（如HDMI、SATA等）;1.2 计算机硬件基础知识
外部设备在计算机系统中的作用是什么？;非必要但常不可缺少的设备，通过接口连接并实现预期功能（如键盘鼠标显示器）;1.2 计算机硬件基础知识
计算机软件的定义是什么？;计算机软件是指计算机系统中的程序及其文档，是计算任务的处理对象和处理规则的描述。;1.3 计算机软件基础知识
软件系统由哪三个部分组成？;软件系统是指在计算机硬件系统上运行的程序、相关的文档资料和数据的集合。;1.3 计算机软件基础知识
按照作用和使用环境，计算机软件分为哪两大类？;通常将计算机软件分为系统软件和应用软件两大类。;1.3 计算机软件基础知识
什么是系统软件？;系统软件是为整个计算机系统配置的不依赖特定应用领域的通用软件，对计算机系统的硬件和软件资源进行控制和管理，并提供运行服务支持。;1.3 计算机软件基础知识
什么是应用软件？;应用软件是指为某类应用需要或解决某个特定问题而设计的软件，常与具体领域相关联。;1.3 计算机软件基础知识
操作系统在计算机系统中最核心的角色是什么？;操作系统是计算机系统的资源管理者，包含对系统软、硬件资源实施管理的一组程序。;1.3 计算机软件基础知识
操作系统的内核（Kernel）之外通常包含哪些配套软件？;操作系统通常由内核和用户界面、管理工具、开发工具和常用应用程序等附加配套软件组成。;1.3 计算机软件基础知识
操作系统的三大重要作用分别是什么？;(1) 管理计算机中运行的程序和分配各种软、硬件资源；(2) 为用户提供友善的人机界面；(3) 为应用程序的开发和运行提供一个高效率的平台。;1.3 计算机软件基础知识
操作系统具有哪四个基本特征？;操作系统具有并发性、共享性、虚拟性和不确定性的特征。;1.3 计算机软件基础知识
单道批处理和多道批处理属于哪种操作系统的分类？;它们属于批处理操作系统的分类，根据同时执行的作业数区分。;1.3 计算机软件基础知识
一个作业由哪三个部分组成？;一个作业由用户程序、数据和作业说明书（作业控制语言）3个部分组成。;1.3 计算机软件基础知识
分时操作系统主要具备哪四个特点？;分时系统主要有四路性、独立性、交互性和及时性。;1.3 计算机软件基础知识
实时操作系统的主要特点和对可靠性的要求是什么？;实时操作系统对外来信息反应速度快，在允许时间范围内快速做出反应，对可靠性要求很高，且不强制要求用户交互。;1.3 计算机软件基础知识
网络操作系统的主要功能特征包括哪些？;网络操作系统使联网计算机能有效地共享网络资源，为网络用户提供各种服务和接口，特征包括硬件独立性和多用户支持等。;1.3 计算机软件基础知识
分布式操作系统相比网络操作系统有哪些更高级的特性？;分布式操作系统保持网络系统全部功能，同时又有透明性、可靠性和高性能等特性。;1.3 计算机软件基础知识
嵌入式操作系统的特点是什么？;嵌入式操作系统特点是微型化、可定制、可靠性和易移植性。;1.3 计算机软件基础知识
为了提高易移植性，嵌入式操作系统常采用哪两种技术？;常采用硬件抽象层（HAL）和板级支撑包（BSP）。;1.3 计算机软件基础知识
请列举常见的嵌入式实时操作系统名称。;常见的嵌入式实时操作系统有 VxWorks、μClinux、PalmOS、WindowsCE、μC/OS-II 和 eCos 等。;1.3 计算机软件基础知识
数据库（DB）的定义是什么？;数据库是指长期存储在计算机内、有组织的、统一管理的相关数据的集合。;1.3 计算机软件基础知识
数据库具有哪些主要特性？;数据是按一定格式存放的，具有较小的冗余度、较高的数据独立性和易扩展性，可为多个用户共享。;1.3 计算机软件基础知识
数据库主要分为哪几种类型？;数据库可以分为关系型数据库、键值（Key-Value）数据库、列存储数据库、文档数据库等。;1.3 计算机软件基础知识
完全分布式数据库系统必须满足哪四个条件？;满足分布性、逻辑相关性、场地透明性和场地自治性的数据库系统被称为完全分布式数据库系统。;1.3 计算机软件基础知识
分布式数据库系统具有哪些主要特点？;分布式数据库系统的特点是数据的集中控制性、数据独立性、数据冗余可控性、场地自治性和存取的有效性。;1.3 计算机软件基础知识
文件在逻辑上的定义是什么？;文件是具有符号名的、在逻辑上具有完整意义的一组相关信息项的集合。;1.3 计算机软件基础知识
文件系统的主要职责是什么？;文件系统是专门负责管理和存取文件信息的软件机构，实现文件的统一管理。;1.3 计算机软件基础知识
按性质和用途分类，文件可分为哪三类？;按性质和用途分类可将文件分为系统文件、库文件和用户文件。;1.3 计算机软件基础知识
按信息保存期限分类，文件可分为哪三类？;按信息保存期限分类可将文件分为临时文件、档案文件和永久文件。;1.3 计算机软件基础知识
按保护方式分类，文件可分为哪四类？;按保护方式分类可将文件分为只读文件、读/写文件、可执行文件和不保护文件。;1.3 计算机软件基础知识
UNIX系统将文件分为哪三种类型？;UNIX系统将文件分为普通文件、目录文件和设备文件（特殊文件）。;1.3 计算机软件基础知识
文件的两种主要存取方法是什么？;通常有顺序存取和随机存取两种方法。;1.3 计算机软件基础知识
文件的三种组织结构方法是什么？;文件组织方法有连续结构、链接结构和索引结构，还有多重索引方式。;1.3 计算机软件基础知识
磁盘分配表（Disk Allocation Table）的三种数据结构形式是什么？;有空闲区表、位示图和空闲块链 3 种。;1.3 计算机软件基础知识
位示图是如何表示磁盘区块状态的？;位示图用每一位的 0 和 1 表示一个区块空闲或被占用。;1.3 计算机软件基础知识
互联网使用的是哪种协议簇？;互联网使用的是 TCP/IP 协议簇。;1.3 计算机软件基础知识
中间件（Middleware）的定义是什么？;中间件是应用软件与各种操作系统之间使用的标准化编程接口和协议，属于基础中间件软件的一大类。;1.3 计算机软件基础知识
通信处理（消息）中间件的作用及代表产品是什么？;保证系统能在不同平台之间通信，例如 MQSeries。;1.3 计算机软件基础知识
事务处理（交易）中间件的功能及代表产品是什么？;实现协调处理顺序、监视和调度、负载均衡等功能，例如 Tuxedo。;1.3 计算机软件基础知识
Web服务器中间件的作用及代表产品是什么？;提供 Web 程序执行的运行时容器，例如 Tomcat、JBOSS 等。;1.3 计算机软件基础知识
