Front;Back;Tag
SOA（面向服务架构）从软件基本原理角度是如何定义的？;SOA是一个组件模型，它将应用程序的不同功能单元（称为服务）通过这些服务之间定义良好的接口和契约联系起来。接口采用中立方式定义，独立于实现服务的硬件平台、操作系统和编程语言。;18.1 SOA的相关概念
BPEL（业务流程执行语言）的作用是什么？;用户可以通过BPEL组合、编排和协调Web服务，自上而下地实现面向服务的体系结构。将现有的Web Services按照要求的业务流程整合成一个新的Web Services，从外界看来和单个Service一样。;18.1 SOA的相关概念
SOA发展历程的萌芽阶段主要技术是什么？其作用是什么？;广泛使用的XML，允许组织定义文档的元数据，实现企业内部和企业之间的电子数据交换，规定了服务之间以及服务内部数据交换的格式和结构。;18.2 SOA的发展历史
SOA发展历程的标准化阶段产生了哪三个国际标准和规范？;SOAP（简单对象访问协议）、WSDL（Web服务描述语言）、UDDI（通用服务发现和集成协议）。;18.2 SOA的发展历史
SOA发展历程的成熟应用阶段出现了哪三个重量级规范？;SCA、SDO、WS-Policy。其中SCA和SDO构成SOA编程模型的基础，WS-Policy建立SOA组件之间安全交互的规范。;18.2 SOA的发展历史
微服务相比于SOA有哪些主要区别？（至少三点）;1.微服务更加精细，更多以独立进程方式存在，互相无影响；2.微服务接口方式更通用化（如HTTP RESTful），无关语言平台限制；3.微服务更倾向于分布式去中心化的部署方式，更适合互联网业务场景。;18.2 SOA的发展历史
IBM Websphere业务集成参考架构中，业务逻辑服务（Business Logic Service）包括哪些内容？;业务应用服务、业务伙伴服务以及应用和信息资产。;18.3 SOA的参考架构
IBM SOA参考架构中，控制服务（Control Service）的作用是什么？;包括实现人、流程和信息集成的服务，以及执行这些集成逻辑的能力。;18.3 SOA的参考架构
IBM SOA参考架构中，连接服务（Connectivity Service）通过什么实现？其作用是什么？;通过提供企业服务总线（ESB），实现分布在各种架构元素中服务间的连接性。;18.3 SOA的参考架构
IBM SOA参考架构中，业务创新和优化服务的作用是什么？;用于监控业务系统运行时服务的业务性能，并及时了解变化，采取措施适应变化的市场。;18.3 SOA的参考架构
IBM SOA参考架构中，开发服务（Development Service）的作用是什么？;贯彻整个软件开发生命周期的开发平台，从需求分析到建模、设计、开发、测试和维护等提供全面的工具支持。;18.3 SOA的参考架构
IBM SOA参考架构中，IT服务管理（IT Service Management）包括哪些内容？;支持业务系统运行的各种基础设施管理能力或服务，如安全服务、目录服务、系统管理和资源虚拟化。;18.3 SOA的参考架构
UDDI协议的全称和作用是什么？;统一描述、发现和集成协议（Universal Description, Discovery and Integration）。它包含服务描述与发现的标准规范，使商业实体能够彼此发现，定义它们在Internet上如何互相作用，并在全球注册体系架构中共享信息。;18.4 SOA主要协议和规范
WSDL的全称和作用是什么？;Web服务描述语言（Web Services Description Language）。它是一个用来描述Web服务和说明如何与Web服务通信的XML语言。;18.4 SOA主要协议和规范
WSDL描述了Web服务的哪三个基本属性？;1.服务做什么（操作/方法）；2.如何访问服务（数据格式和协议）；3.服务位于何处（协议相关地址，如URL）。;18.4 SOA主要协议和规范
SOAP协议是什么？;SOAP是在分散或分布式的环境中交换信息的简单协议，是一个基于XML的协议。;18.4 SOA主要协议和规范
REST规范中，RESTful的含义是什么？;RESTful是对遵循REST设计思想且满足设计约束的一类架构设计或应用程序的统称，可以理解为资源表述性状态转移。;18.4 SOA主要协议和规范
在REST规范中，“资源”、“表述”、“状态转移”分别指什么？;资源：互联网中暴露给客户端的事物都可看作资源；表述：描述资源在Web中某一时间的状态；状态转移：分为应用状态（保存在客户端，会话快照）和资源状态（保存在服务端，资源表述快照）。;18.4 SOA主要协议和规范
REST规范中的“超链接”指什么？;通过在页面中嵌入链接和其他资源建立联系。;18.4 SOA主要协议和规范
SOA服务文档标准化的要求是什么？;SOA服务具有平台独立的自我描述XML文档，Web服务描述语言（WSDL）是用于描述服务的标准语言。;18.5 SOA设计的标准要求
SOA服务通信协议标准是什么？;SOA服务用消息进行通信，该消息通常使用XML Schema来定义（也称XSD）。;18.5 SOA设计的标准要求
SOA服务如何进行应用程序统一登记与集成？;通过一个扮演目录列表角色的登记处（Registry）进行维护，应用程序在登记处寻找并调用服务。UDDI是服务登记的标准。;18.5 SOA设计的标准要求
SOA服务质量（QoS）中的“可靠性”包括哪些传输特性？;仅仅传送一次、最多传送一次、重复消息过滤、保证消息传送。;18.5 SOA设计的标准要求
SOA服务质量（QoS）中的“安全性”如何保证？;Web服务安全规范用来保证消息的安全性。;18.5 SOA设计的标准要求
SOA服务质量（QoS）中的“策略”指什么？;服务提供者要求服务消费者与某种策略通信，例如要求提供Kerberos安全标示才能取得服务。;18.5 SOA设计的标准要求
SOA服务质量（QoS）中的“控制”使用什么语言？;BPEL4WS或WSBPEL（Web Service Business Process Execution Language）用来控制服务。;18.5 SOA设计的标准要求
