Front;Back;Tag
数据库系统（DBS）的核心组成部分是什么？;采用了数据库技术、有组织地存储大量关联数据、方便多用户访问的计算机系统。;8.1 数据库基础概念 - 基础概念
数据库管理系统（DBMS）在数据库系统中扮演什么角色？;它是数据库系统的核心软件，负责管理数据集合及提供访问软件。;8.1 数据库基础概念 - 基础概念
DBMS 主要分为哪三类？;关系数据库系统（RDBS）、面向对象的数据库系统（OODBS）、对象关系数据库系统（ORDBS）。;8.1 数据库基础概念 - 基础概念
人工管理阶段数据的主要缺点是什么？;应用程序与数据依赖性强、数据组之间存在数据冗余。;8.1 数据库基础概念 - 发展阶段
文件系统阶段的主要缺点有哪些？;数据冗余、数据不一致性、数据孤立。;8.1 数据库基础概念 - 发展阶段
数据模型的三要素是什么？;数据结构、数据操作、数据的约束条件。;8.1 数据库基础概念 - 数据模型
实体完整性规则的具体要求是什么？;实体的主属性不能取空值。;8.1 数据库基础概念 - 数据模型
参照完整性规则（外键）的具体要求是什么？;外键要么为空，要么必须与被参照关系中的对应属性值一致。;8.1 数据库基础概念 - 数据模型
用户定义完整性规则的作用是什么？;反映具体应用对数据的特定约束（如成绩范围 0-75）。;8.1 数据库基础概念 - 数据模型
数据库管理系统（DBMS）的数据控制功能包括哪些？;保证数据的安全性、完整性以及并发控制。;8.1 数据库基础概念 - DBMS 功能
数据库三级模式中，描述全体数据逻辑结构和特征的是哪一级？;概念模式（也叫模式）。;8.1 数据库基础概念 - 三级模式
数据库三级模式中，描述用户看到或使用的那部分数据逻辑结构的是哪一级？;外模式（也叫子模式或用户模式）。;8.1 数据库基础概念 - 三级模式
数据库三级模式中，描述数据物理结构和存储方式的是哪一级？;内模式（也叫存储模式）。;8.1 数据库基础概念 - 三级模式
逻辑独立性是由哪两级映像保证的？;外模式/概念模式映像。;8.1 数据库基础概念 - 两级映像
物理独立性是由哪两级映像保证的？;概念模式/内模式映像。;8.1 数据库基础概念 - 两级映像
当数据的逻辑结构改变时，应用程序保持不变，这体现了什么特性？;逻辑独立性。;8.1 数据库基础概念 - 两级映像
当数据的物理存储改变时，应用程序保持不变，这体现了什么特性？;物理独立性。;8.1 数据库基础概念 - 两级映像
数据库系统（DBS）的核心组成部分是什么？;采用了数据库技术、有组织地存储大量关联数据、方便多用户访问的计算机系统。;8.1 数据库基础概念 - 基础概念
数据库管理系统（DBMS）在数据库系统中扮演什么角色？;它是数据库系统的核心软件，负责管理数据集合及提供访问软件。;8.1 数据库基础概念 - 基础概念
DBMS 主要分为哪三类？;关系数据库系统（RDBS）、面向对象的数据库系统（OODBS）、对象关系数据库系统（ORDBS）。;8.1 数据库基础概念 - 基础概念
人工管理阶段数据的主要缺点是什么？;应用程序与数据依赖性强、数据组之间存在数据冗余。;8.1 数据库基础概念 - 发展阶段
文件系统阶段的主要缺点有哪些？;数据冗余、数据不一致性、数据孤立。;8.1 数据库基础概念 - 发展阶段
数据模型的三要素是什么？;数据结构、数据操作、数据的约束条件。;8.1 数据库基础概念 - 数据模型
实体完整性规则的具体要求是什么？;实体的主属性不能取空值。;8.1 数据库基础概念 - 数据模型
参照完整性规则（外键）的具体要求是什么？;外键要么为空，要么必须与被参照关系中的对应属性值一致。;8.1 数据库基础概念 - 数据模型
用户定义完整性规则的作用是什么？;反映具体应用对数据的特定约束（如成绩范围 0-75）。;8.1 数据库基础概念 - 数据模型
数据库管理系统（DBMS）的数据控制功能包括哪些？;保证数据的安全性、完整性以及并发控制。;8.1 数据库基础概念 - DBMS 功能
数据库三级模式中，描述全体数据逻辑结构和特征的是哪一级？;概念模式（也叫模式）。;8.1 数据库基础概念 - 三级模式
数据库三级模式中，描述用户看到或使用的那部分数据逻辑结构的是哪一级？;外模式（也叫子模式或用户模式）。;8.1 数据库基础概念 - 三级模式
数据库三级模式中，描述数据物理结构和存储方式的是哪一级？;内模式（也叫存储模式）。;8.1 数据库基础概念 - 三级模式
逻辑独立性是由哪两级映像保证的？;外模式/概念模式映像。;8.1 数据库基础概念 - 两级映像
物理独立性是由哪两级映像保证的？;概念模式/内模式映像。;8.1 数据库基础概念 - 两级映像
当数据的逻辑结构改变时，应用程序保持不变，这体现了什么特性？;逻辑独立性。;8.1 数据库基础概念 - 两级映像
当数据的物理存储改变时，应用程序保持不变，这体现了什么特性？;物理独立性。;8.1 数据库基础概念 - 两级映像
Front;Back;Tag
在关系数据库中，"目"或"度"（Degree）指的是什么？;关系中属性（列）的个数。;8.2 关系数据库 - 基本概念
什么是候选码（Candidate Key）？;能唯一标识一个元组的属性或属性组。;8.2 关系数据库 - 基本概念
主属性（Prime Attribute）的定义是什么？;包含在**任何一个**候选码中的属性。;8.2 关系数据库 - 基本概念
什么是全码（All-key）？;关系模式的所有属性组构成了该关系的候选码。;8.2 关系数据库 - 基本概念
关系代数中，专门的关系运算符主要有哪些？;选择（σ）、投影（π）、连接（⋈）、除（÷）。;8.2 关系数据库 - 关系代数
左外连接（Left Outer Join）的结果包含哪些元组？;包含做自然连接后，**左侧关系**的所有元组（右侧匹配的保留，不匹配的补空值）。;8.2 关系数据库 - 关系代数
完全外连接（Full Outer Join）的结果包含哪些元组？;包含做自然连接后，**左右两侧关系**的所有元组（不匹配的均补空值）。;8.2 关系数据库 - 关系代数
函数依赖中，X→Y 被称为"非平凡函数依赖"的条件是什么？;Y 不是 X 的子集（即 Y⊈X）。;8.2 关系数据库 - 设计理论
什么是"完全函数依赖"？;Y 依赖于 X，且 Y 不依赖于 X 的任何真子集（即必须依赖整个 X）。;8.2 关系数据库 - 设计理论
什么是"传递函数依赖"？;X→Y，Y→Z，且 Y⊈X，则称 Z 对 X 传递函数依赖。;8.2 关系数据库 - 设计理论
第一范式（1NF）的核心要求是什么？;所有属性都是不可再分的原子值。;8.2 关系数据库 - 范式理论
第二范式（2NF）消除了哪种依赖？;非主属性对码的**部分函数依赖**。;8.2 关系数据库 - 范式理论
第三范式（3NF）消除了哪种依赖？;非主属性对码的**传递函数依赖**。;8.2 关系数据库 - 范式理论
BC范式（BCNF）与 3NF 的主要区别是什么？;BCNF 消除了**主属性**对候选码的部分和传递依赖（所有决定因素都必须是候选码）。;8.2 关系数据库 - 范式理论
事务的 ACID 特性中，"隔离性"（Isolation）是指什么？;一个事务的执行不能被其他事务干扰（并发事务互不干扰）。;8.2 关系数据库 - 事务管理
事务的 ACID 特性中，"持久性"（Durability）是指什么？;事务一旦提交，对数据的改变是永久的，即使系统故障也不会丢失。;8.2 关系数据库 - 事务管理
两段锁协议（2PL）的"增长阶段"允许做什么操作？;只允许**申请**锁（S锁或X锁），不允许释放锁。;8.2 关系数据库 - 并发控制
两段锁协议（2PL）的"衰退阶段"允许做什么操作？;只允许**释放**锁，不允许申请新锁。;8.2 关系数据库 - 并发控制
排他型封锁（X 封锁）允许事务对数据进行什么操作？;允许读取和修改，但**排斥**其他任何事务的访问。;8.2 关系数据库 - 并发控制
共享型封锁（S 封锁）允许事务对数据进行什么操作？;只允许读取，**不允许修改**。;8.2 关系数据库 - 并发控制
静态备份与动态备份的主要区别是什么？;静态备份期间**不允许**对数据库进行存取/修改；动态备份允许并发执行。;8.2 关系数据库 - 备份与恢复
海量备份与增量备份的主要区别是什么？;海量备份每次备份**全部**数据库；增量备份只备份**上次备份后更新过**的数据。;8.2 关系数据库 - 备份与恢复
事务故障恢复中，UNDO 和 REDO 操作分别针对什么状态的事务？;UNDO 针对未提交的事务（撤销）；REDO 针对已提交但尚未写入磁盘的事务（重做）。;8.2 关系数据库 - 备份与恢复
数据库设计的 6 个基本步骤是什么？;1. 用户需求分析；2. 概念结构设计；3. 逻辑结构设计；4. 物理结构设计；5. 应用程序设计；6. 运行维护。;8.3 数据库设计 - 基本步骤
在概念结构设计中，E-R 图合并时需要解决哪三类冲突？;属性冲突、命名冲突、结构冲突。;8.3 数据库设计 - 概念结构设计
E-R 图的三个基本要素及其图形表示是什么？;1. 实体（矩形框）；2. 属性（椭圆形）；3. 联系（菱形框）。;8.3 数据库设计 - 概念结构设计
逻辑结构设计阶段的主要工作是什么？;将 E-R 图转换成指定的数据模型（如关系模型），并确定完整性约束和用户视图。;8.3 数据库设计 - 逻辑结构设计
物理结构设计阶段主要确定哪些内容？;确定数据的分布、存储结构和访问方式。;8.3 数据库设计 - 物理设计
数据库运行维护阶段主要由谁负责？主要包括哪些工作？;由 DBA 负责；包括性能监测与改善、故障恢复、数据库重组和重构。;8.3 数据库设计 - 运行维护
商业智能（BI）的三大核心组成部分是什么？;数据仓库（DW）、联机分析处理（OLAP）、数据挖掘（DM）。;8.3 数据库设计 - 商业智能
数据仓库的 4 个关键特征是什么？;面向主题的、集成的、非易失的（相对稳定的）、时变的。;8.3 数据库设计 - 数据仓库
传统数据库与数据仓库在“数据内容”上的主要区别是什么？;传统数据库：当前值；数据仓库：历史的、归档的、归纳的、计算的数据。;8.3 数据库设计 - 传统数据库与数据仓库
传统数据库与数据仓库在“数据特性”上的主要区别是什么？;传统数据库：动态变化、可更新；数据仓库：静态、不能直接更新，只能定时添加。;8.3 数据库设计 - 传统数据库与数据仓库
OLTP 与 OLAP 在“用户”群体上的区别是什么？;OLTP：操作人员、低层管理人员；OLAP：决策人员、高级管理人员。;8.3 数据库设计 - OLTP 与 OLAP
OLTP 与 OLAP 在“功能”上的区别是什么？;OLTP：日常操作处理；OLAP：分析决策。;8.3 数据库设计 - OLTP 与 OLAP
OLTP 与 OLAP 在“DB 设计”导向上的区别是什么？;OLTP：面向应用；OLAP：面向主题。;8.3 数据库设计 - OLTP 与 OLAP
OLTP 与 OLAP 在“数据”特征上的区别是什么？;OLTP：当前的、最新的、细节的、二维的；OLAP：历史的、聚集的、多维的、集成的。;8.3 数据库设计 - OLTP 与 OLAP
OLTP 与 OLAP 在“存取”数据量上的区别是什么？;OLTP：读/写数十条记录；OLAP：读上百万条记录。;8.3 数据库设计 - OLTP 与 OLAP
