Front;Back;Tag
软件架构演化的三个重要性是什么？;1.保障软件系统具备诸多好的特性；2.有效管控软件系统的整体复杂性和变化性，降低软件检修和修改成本；3.保证软件系统演化的一致性和正确性，增加便捷性。;12.1 软件架构演化和定义的关系
软件架构演化的三大要素是什么？;组件、连接件和约束。;12.1 软件架构演化和定义的关系
软件架构演化主要关注对三大要素的哪些操作？;添加、修改和删除。;12.1 软件架构演化和定义的关系
面向对象软件架构演化中，对象演化包括哪两种操作？;AO（Add Object）和 DO（Delete Object）。;12.2 面向对象软件架构演化过程
AO（Add Object）发生在什么情况下？;系统需要添加新的对象来实现某种新的功能，或需将现有对象的某个功能独立以增加架构灵活性时发生。;12.2 面向对象软件架构演化过程
DO（Delete Object）发生在什么情况下？;系统需要移除某个现有的功能，或需合并某些对象及其功能来降低架构的复杂度的时候发生。;12.2 面向对象软件架构演化过程
消息演化包括哪五种操作？;AM、DM、SMO、OM、CMM。;12.2 面向对象软件架构演化过程
AM（Add Message）发生在什么情况下？;增添一条新的消息，产生在对象之间需要增加新的交互行为的时候。;12.2 面向对象软件架构演化过程
DM（Delete Message）发生在什么情况下？;删除当前的一条消息，产生在需要移除某交互行为的时候。;12.2 面向对象软件架构演化过程
SMO（Swap Message Order）发生在什么情况下？;交换两条消息的时间顺序，发生在需要改变两个交互行为之间的时候。;12.2 面向对象软件架构演化过程
OM（Overturn Message）发生在什么情况下？;反转消息的发送对象与接收对象，发生在需要修改某个交互行为本身的时候。;12.2 面向对象软件架构演化过程
CMM（Change Message Module）发生在什么情况下？;改变消息的发送或接收对象，发生在需要修改某个交互行为本身的时候。;12.2 面向对象软件架构演化过程
复合片段演化包括哪四种操作？;AF、DF、FTC、FCC。;12.2 面向对象软件架构演化过程
AF（Add Fragment）发生在什么情况下？;在某几条消息上新增复合片段，发生在需要增添新的控制流时。;12.2 面向对象软件架构演化过程
DF（Delete Fragment）发生在什么情况下？;删除某个现有的复合片段，发生在需要移除当前某段控制流时。;12.2 面向对象软件架构演化过程
FTC（Fragment Type Change）发生在什么情况下？;改变复合片段的类型，发生在需要改变某段控制流时。;12.2 面向对象软件架构演化过程
FCC（Fragment Condition Change）发生在什么情况下？;改变复合片段内部执行的条件，发生在改变当前控制流的执行条件时。;12.2 面向对象软件架构演化过程
约束演化包括哪两种操作？;AC（Add Constraint）和 DC（Delete Constraint）。;12.2 面向对象软件架构演化过程
AC（Add Constraint）的操作要点是什么？;直接添加新的约束信息，需判断当前设计是否满足新添加的约束要求。;12.2 面向对象软件架构演化过程
DC（Delete Constraint）的操作发生在什么情况下？;直接移除某条约束信息，发生在去除某些不必要条件的时候。;12.2 面向对象软件架构演化过程
按照软件架构的实现方式和实施粒度，软件架构演化方式分为哪四种？;基于过程和函数的演化、面向对象的演化、基于组件的演化、基于架构的演化。;12.3 软件架构演化方式的分类
按演化过程是否处于系统运行期，软件架构演化方式中的“对演化的支持”包括哪些内容？;版本和工程的管理工具、架构变换的形式方法、架构演化的成本收益分析。;12.3 软件架构演化方式的分类
按研究方法，软件架构演化方式分为哪两种？;静态演化和动态演化。;12.3 软件架构演化方式的分类
软件架构演化时期分为哪四种？;设计时演化、运行前演化、有限制运行时演化、运行时演化。;12.3 软件架构演化方式的分类
软件架构静态演化的两个需求是什么？;设计时演化需求、运行前演化需求。;12.3 软件架构演化方式的分类
软件架构静态演化的一般过程包含哪五个步骤？;软件理解 → 需求变更分析 → 演化计划 → 系统重构 → 系统测试。;12.3 软件架构演化方式的分类
与可维护性相关的架构静态演化原子操作有哪些？（列出所有）;AMD（Add Module Dependence）、RMD（Remove Module Dependence）、AMI（Add Module Interface）、RMI（Remove Module Interface）、AM（Add Module）、RM（Remove Module）、SM（Split Module）、AGM（Aggregate Modules）。;12.3 软件架构演化方式的分类
与可靠性相关的架构静态演化原子操作有哪些？（列出所有）;AMS（Add Message）、RMS（Remove Message）、AO（Add Object）、RO（Remove Object）、AF（Add Fragment）、RF（Remove Fragment）、CF（Change Fragment）、AU（Add Use Case）、RU（Remove Use Case）、AA（Add Actor）、RA（Remove Actor）。;12.3 软件架构演化方式的分类
软件架构动态演化的两个需求是什么？;软件内部执行所导致的体系结构改变、软件系统外部的请求对软件进行的重配置。;12.3 软件架构演化方式的分类
软件动态性的三个等级是什么？;交互动态性、结构动态性、架构动态性。;12.3 软件架构演化方式的分类
软件架构动态演化的内容包含哪四个方面？;属性改名、行为变化、拓扑结构改变、风格变化。;12.3 软件架构演化方式的分类
基于DSA实现动态演化的基本原理是什么？;运行时刻体系结构相关信息的改变可用来触发、驱动系统自身的动态调整。;12.3 软件架构演化方式的分类
列举三种基于不同视角的DSA描述语言。;基于行为视角的π-ADL、基于反射视角的Pilar、基于协调视角的LIME。;12.3 软件架构演化方式的分类
动态软件架构（DSA）演化工具包括哪四种实现方式？;使用反射机制、基于组件操作、基于π演算、利用外部的体系结构演化管理器。;12.3 软件架构演化方式的分类
动态软件架构应用实例PKUAS包括哪四种类型？;容器系统、公共服务、工具和微内核。;12.3 软件架构演化方式的分类
动态重配置的四种模式是什么？;主从模式、中央控制模式、客户端/服务器模式、分布式控制模式。;12.3 软件架构演化方式的分类
动态配置的难点有哪些？（列出至少4点）;约束定义困难、性能约束难以静态衡量、难以管理所有方面、需同时保证组件系统完整性和重配置策略的正确和安全性。;12.3 软件架构演化方式的分类
软件架构可持续演化的18条原则中，“演化成本控制原则”是什么？;演化成本要控制在预期的范围之内。;12.4 软件结构演化原则
软件架构可持续演化原则中，“进度可控原则”是什么？;架构演化要在预期的时间内完成。;12.4 软件结构演化原则
软件架构可持续演化原则中，“风险可控原则”包括哪些风险？;经济风险、时间风险、人力风险、技术风险和环境风险。;12.4 软件结构演化原则
“主体维持原则”在软件架构演化中的含义是什么？;软件演化的平均增量的增长须保持平稳，保证软件系统主体行为稳定。;12.4 软件结构演化原则
“系统总体结构优化原则”的含义是什么？;使演化后的软件系统整体结构（布局）更加合理。;12.4 软件结构演化原则
“平滑演化原则”的含义是什么？;软件的演化速率趋于稳定。;12.4 软件结构演化原则
“目标一致原则”的含义是什么？;架构演化的阶段目标和最终目标要一致。;12.4 软件结构演化原则
“模块独立演化原则”的含义是什么？;软件中各模块自身的演化最好相互独立。;12.4 软件结构演化原则
“影响可控原则”的含义是什么？;如果一个模块发生变更，给其他模块带来的影响在可控范围内。;12.4 软件结构演化原则
“复杂性可控原则”的含义是什么？;必须控制架构的复杂性，保障软件的复杂性在可控范围内。;12.4 软件结构演化原则
“有利于重构原则”的含义是什么？;使演化后软件架构便于重构。;12.4 软件结构演化原则
“有利于重用原则”的含义是什么？;演化最好能维持，甚至提高整体架构的可重用性。;12.4 软件结构演化原则
“设计原则遵循性原则”的含义是什么？;架构演化最好不能与架构设计原则冲突。;12.4 软件结构演化原则
“适应新技术原则”的含义是什么？;软件要独立于特定的技术手段，可运行于不同平台。;12.4 软件结构演化原则
“环境适应性原则”的含义是什么？;架构演化后的软件版本比较容易适应新的硬件环境和软件环境。;12.4 软件结构演化原则
“标准依从性原则”的含义是什么？;演化不违背相关质量标准（国际标准、国家标准、行业标准等）。;12.4 软件结构演化原则
“质量向好原则”的含义是什么？;使所关注的某个质量指标或质量指标的综合效果变得更好。;12.4 软件结构演化原则
“适应新需求原则”的含义是什么？;很容易适应新的需求变更。;12.4 软件结构演化原则
