Front;Back;Tag
信息系统的定义是什么？;由计算机软硬件、网络和通信设备、信息资源、用户和规章制度组成的以处理信息流为目的的人机一体化系统。;4.1 信息系统概述
信息系统的五个基本功能是什么？;输入、存储、处理、输出、控制。;4.1 信息系统概述
理查德·诺兰（Richard L. Nolan）将信息系统的发展划分为哪6个阶段？;初始、传播、控制、集成、数据管理、成熟。;4.1 信息系统概述
信息系统主要分为哪6类？;业务（数据）处理系统、管理信息系统、决策支持系统、专家系统、办公自动化系统、综合性信息系统。;4.1 信息系统概述
信息系统的生命周期分为哪4个阶段？;产生、开发、运行、消亡。;4.1 信息系统概述
信息系统建设的四大原则是什么？;高层管理人员介入原则、用户参与开发原则、自顶向下规划原则、工程化原则。;4.1 信息系统概述
原型法按照“实现功能”划分，分为哪两类？;水平原型（行为原型，用于界面，未实现功能）和垂直原型（结构化原型，实现了部分功能）。;4.1 信息系统概述 - 原型法
原型法按照“最终结果”划分，分为哪两类？;抛弃式（探索式，解决需求不确定性）和演化式（逐步演化为最终系统，适用于Web项目）。;4.1 信息系统概述 - 原型法
构件的获取方式主要有哪些？;1.从现有构件中获得；2.通过遗留工程提取；3.购买商业构件；4.开发新构件。;4.1 信息系统概述 - 构件化开发
构件分类中的“关键字分类法”是如何定义的？;将应用领域概念按从抽象到具体顺序分解为树型或有向无回路图结构，每个概念用描述性关键字表示。;4.1 信息系统概述 - 构件化开发
构件分类中的“刻面分类法”是如何定义的？;定义若干用于刻画构件特征的“刻面”，每个面包含若干概念，描述构件在刻面上的特征（如功能、数据、语境）。;4.1 信息系统概述 - 构件化开发
构件分类中的“超文本方法”是如何定义的？;所有构件辅以详尽文档，重要概念以网状链接连接，支持联想式跳转和全文检索。;4.1 信息系统概述 - 构件化开发
敏捷方法与重型方法相比，最主要的两个特征是什么？;1.是“适应型”而非“预设型”（欢迎变化）；2.是“面向人的”而非“面向过程的”（发挥创造力）。;4.1 信息系统概述 - 敏捷方法
敏捷方法的核心思想主要包含哪三点？;1.是适应型而非可预测型；2.以人为本而非以过程为本；3.属于迭代增量式的开发过程。;4.1 信息系统概述 - 敏捷方法
业务处理系统（TPS）或电子数据处理系统（EDPS）的主要作用是什么？;实现计算机自动化、减轻处理数据负担、提高处理效率。它是信息系统发展的最初级形式，也是基础和桥梁。;4.2 信息化的典型应用 - TPS
TPS 的数据处理方式主要包含哪两种？;批处理（Batch Processing）方式和联机事务处理（OLTP）方式。;4.2 信息化的典型应用 - TPS
业务系统数据处理周期分为哪 5 个阶段？;数据输入、数据处理、数据库的维护、文件报表的生成、查询处理。;4.2 信息化的典型应用 - TPS
管理信息系统（MIS）是在哪个系统基础上发展起来的？;是在 TPS（业务处理系统）基础上发展的高度集成化的人机信息系统。;4.2 信息化的典型应用 - MIS
MIS 系统包含哪 7 个子系统？;销售市场、生产、后勤、人事、财务和会计、信息处理、高层管理子系统。;4.2 信息化的典型应用 - MIS
决策支持系统（DSS）的主要资源是什么？;数据和模型。;4.2 信息化的典型应用 - DSS
DSS 主要用于解决哪类问题？其作用目标是什么？;主要用于解决半结构化及非结构化问题；作用在于提高决策的有效性（而非效率）。;4.2 信息化的典型应用 - DSS
DSS 的两种级别结构形式是什么？;两库结构和基于知识的结构。;4.2 信息化的典型应用 - DSS
DSS 支撑的九项基本功能中，关于“模型”的功能是什么？;具有模型的存储和管理能力。;4.2 信息化的典型应用 - DSS
DSS 的组建过程包含哪些步骤？;数据重组、建立数据仓库、建立数据字典、数据挖掘、建立模型。;4.2 信息化的典型应用 - DSS
专家系统（ES）属于哪个技术领域？;属于人工智能（AI）。;4.2 信息化的典型应用 - ES
专家系统（ES）的主要特点有哪些？;超越时间限制、操作成本低廉、易于传递与复制、处理手段一致、善于克服难题、适用特定领域。;4.2 信息化的典型应用 - ES
专家系统（ES）由哪 6 个部分组成？;知识库、综合数据库、推理机、知识获取、解释程序、人—机接口。;4.2 信息化的典型应用 - ES
专家系统的核心组成部分是什么？;推理机和知识库。;4.2 信息化的典型应用 - ES
办公自动化系统（OAS）处理的对象包括哪些？;包括数据、文字、声音、图像等信息的一体化处理。;4.2 信息化的典型应用 - OAS
企业资源规划（ERP）中的企业资源包括哪三大流？;物流、资金流和信息流。;4.2 信息化的典型应用 - ERP
ERP 是对什么的全面管理？;是对供应链的全面管理。;4.2 信息化的典型应用 - ERP
ERP 包含哪 11 个基本模块？;生产预测、销售管理、经营计划、主生产计划、物料需求计划、能力需求计划、车间作业计划、采购与库存管理、质量与设备管理、财务管理。;4.2 信息化的典型应用 - ERP
【DSS】定义一中，决策支持系统由哪三个互相关联的部分组成？;语言系统、知识系统、问题处理系统。;4.2 信息化的典型应用 - DSS
【DSS】定义二中，决策支持系统针对哪类人员？其核心作用是什么？;针对上层管理人员；支持但不是代替决策。;4.2 信息化的典型应用 - DSS
【DSS】在 DSS 系统中，谁处于核心地位？;DSS 系统的管理者（决策者）处于核心地位。;4.2 信息化的典型应用 - DSS
【ES】专家系统（ES）主要包括哪些分支领域？;机器人技术、视觉系统、自然语言处理、学习系统和神经网络等。;4.2 信息化的典型应用 - ES
【ES】一般的专家系统是如何求解领域问题的？;通过推理机与知识库和综合数据库的交互作用来求解。;4.2 信息化的典型应用 - ES
【ERP】ERP 的管理范围涉及企业的什么过程？;涉及企业的所有供需过程。;4.2 信息化的典型应用 - ERP
【ERP】ERP 的功能主要包含哪三个方面？;1. 支持决策；2. 不同行业的针对性 IT 解决方案；3. 提供全行业和跨行业的供应链。;4.2 信息化的典型应用 - ERP
专家系统与一般计算机系统在“功能”上的区别是什么？;专家系统：解决问题、解释结果、进行判断与决策；一般计算机系统：仅解决问题。;4.2 信息化的典型应用 - ES
专家系统与一般计算机系统在“处理能力”上的区别是什么？;专家系统：处理数字与符号；一般计算机系统：仅处理数字。;4.2 信息化的典型应用 - ES
专家系统与一般计算机系统在“处理问题种类”上的区别是什么？;专家系统：多属准结构性或非结构性，可处理不确定的知识，使用于特定领域；一般计算机系统：多属结构性，处理确定的知识。;4.2 信息化的典型应用 - ES
电子政务（EG）的行为主体包括哪三类？;政府（Government）、企（事）业单位（Business）、居民（Citizen）。;4.3 典型信息系统架构模型 - 电子政务
电子政务（EG）的核心定义是什么？;利用信息技术实现公务、政务、商务、事务的一体化管理与运行的政府形态改造的系统工程。;4.3 典型信息系统架构模型 - 电子政务
企业信息化（EI）的定义是什么？;企业利用现代信息技术，实现经营活动的自动化、便捷化、网络化和智能化，以加强企业核心竞争力的过程。;4.3 典型信息系统架构模型 - 企业信息化
企业信息化的本质是什么？从哪3个层面实现？;本质是技术和业务的融合；从企业战略、业务运作、管理运作3个层面实现。;4.3 典型信息系统架构模型 - 企业信息化
企业信息化的6种方法有哪些？;业务流程重构方法、核心业务应用方法、信息系统建设方法、主题数据库方法、资源管理方法、人力资本投资方法。;4.3 典型信息系统架构模型 - 企业信息化
电子商务（EC）的定义是什么？;利用Web提供的通信手段在网上买卖产品或提供服务，及其衍生行为。;4.3 典型信息系统架构模型 - 电子商务
电子商务的4种主要模式是什么？;B2B、B2C、C2C、O2O（线上购买线下的服务）。;4.3 典型信息系统架构模型 - 电子商务
