Front;Back;Tag
信息系统架构的三种权威定义分别是什么？（列出三点）;1. 架构是系统的结构，由软件元素、元素外部可见属性和元素间关系组成；2. 架构是软件系统结构、行为和属性的高级抽象，由系统元素描述、元素间相互作用、元素集成模式及模式约束组成；3. 架构是系统的基础组织，体现为构件、构件间关系、构件和环境间关系、构件设计和演进的原则。;15.1 基本概念
对于信息系统架构定义的理解，包含哪六个要点？;1.架构是系统的抽象；2.架构是结构的组合；3.系统必然存在架构；4.架构是元素的集合；5.架构具有基础特性；6.架构隐含设计决策。;15.1 基本概念
从静态和动态角度分别如何理解“架构是元素的集合”？;静态角度：架构关注系统的总体结构（模式）；动态角度：架构关注系统行为的共同特征。;15.1 基本概念
影响信息系统架构的因素有哪些？;外部干系人（对系统有不同的关注和需求）、内部干系人（知识结构、素质、经验、技术环境影响需求和设计）。;15.1 基本概念
信息系统架构对外部和内部干系人分别有什么反作用？;影响外部干系人：业务影响组织结构；影响内部干系人：架构具有示范性、复用性，提供商机。;15.1 基本概念
信息系统架构的五种风格分别是什么？;数据流风格、调用/返回风格、独立构件风格、虚拟机风格、仓库风格。;15.2 信息系统架构风格与分类
数据流体系结构风格包括哪两种具体模式？;批处理、管道-过滤器。;15.2 信息系统架构风格与分类
调用/返回体系结构风格包括哪三种具体模式？;主程序/子程序、面向对象、层次结构。;15.2 信息系统架构风格与分类
独立构件体系结构风格包括哪两种具体模式？;进程通信、事件系统。;15.2 信息系统架构风格与分类
虚拟机体系结构风格包括哪两种具体模式？;解释器、规则系统。;15.2 信息系统架构风格与分类
仓库体系结构风格包括哪三种具体模式？;数据库、超文本、黑板。;15.2 信息系统架构风格与分类
信息系统物理结构包括哪两种类型？;单体应用、分布式结构。;15.2 信息系统架构风格与分类
信息系统逻辑结构的三种综合方式是什么？;横向综合、纵向综合、纵横综合。;15.2 信息系统架构风格与分类
什么是横向综合？;将同一管理层次的各个业务职能综合到一起。;15.2 信息系统架构风格与分类
什么是纵向综合？;将同一业务的各个管理层次智能综合到一起。;15.2 信息系统架构风格与分类
什么是纵横综合？;将各个业务的各个管理层次统一综合到一起，主要从信息模型和处理模型两方面着手，建立公用的数据库和统一的信息处理系统。;15.2 信息系统架构风格与分类
什么是单体应用？;单体应用指运行在单台物理机器上的独立应用程序，应用领域是信息系统领域（以数据处理为核心的系统）。;15.3 信息系统常用架构模型
客户机/服务器模式中客户端和服务器间通过什么协议进行请求和应答？;TCP/UDP。;15.3 信息系统常用架构模型
二层C/S结构是什么形式？;胖客户端，即前台客户端 + 后台数据库的形式。;15.3 信息系统常用架构模型
三层C/S结构由哪三部分组成？;前台客户端 + 后台服务端 + 后台数据库。;15.3 信息系统常用架构模型
瘦客户端在三层C/S中的特点是什么？;前台界面和业务逻辑处理分离，前台客户端仅含前台界面。;15.3 信息系统常用架构模型
三层B/S结构由哪三部分组成？;Web浏览器 + Web服务器 + 后台数据库。;15.3 信息系统常用架构模型
B/S结构中浏览器与服务器间主要采用什么协议？;基于TCP/IP或UDP的HTTP协议。;15.3 信息系统常用架构模型
前台客户端与后台服务端通信的协议有哪些？（至少列出4种）;TCP/IP协议、基于TCP/IP通过Socket自定义的协议、RPC协议、CORBA/IIOP协议、Java RMI协议、J2EE JMS协议、HTTP协议。;15.3 信息系统常用架构模型
多层C/S结构的组成形式是什么？中间件/应用层的作用有哪些？;形式：前台客户端 + 后台服务端 + 中间件/应用层 + 数据库。作用：1.提高并发性能和可伸缩性；2.请求转发、业务逻辑处理；3.增加数据安全性。;15.3 信息系统常用架构模型
